國立中央大學九十學年度第學期退學人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
院別,系所別,各年級退學生人數,,,,
,,一年級,二年級,三年級,四年級,
文學院,中國文學研究所,,,,,1.1
文學院,中國文學系,1,0,1,0,
,英美語文學系,0,0,0,0,
,法國語文學系,0,0,2,0,
,總計,1,0,3,0,
,數學研究所,0,,,0,
理學院,數學系,5,1,0,0,
,物理學系,1,1,3,0,
,化學學系,0,2,1,0,
,生命科學系,1,1,1,0,
,,0,,,0,
,總計,7,5,5,0,
工學院,化學工程與材料工程學系,0,0,1,0,
,土木工程學系,9,4,2,0,
,機械工程學系,2,5,6,3,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,總計,11,9,9,3,
管理學院,企業管理學系,0,0,1,0,
,資訊管理學系,2,0,0,0,
,經濟學系,0,0,0,0,
,財務金融學系,0,0,0,0,
,,,,,,
,,,,,,
,總計,2,0,1,0,
資電學院,電機工程學系,3,1,1,2,
,資訊工程學系,0,3,2,0,
,,,,,,
,總計,3,4,3,2,
地科學院,大氣科學學系,3,0,2,1,
,地球科學學系,2,1,1,0,
,,,,,,
,總計,5,1,3,1,
總         計  ：,,29,19,24,6,
