國立中央大學九十學年度第一學期碩士班退學人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3
院別,系所別,各年級退學生   人數,
,,一年級,二年級以上
文學院,中國文學系碩士班,0,0
,英美語文學系碩士班,0,2
,法國語文學系碩士班,0,0
,哲學研究所碩士班,0,1
,歷史研究所碩士班,0,1
,藝術學研究所碩士班,0,0
,總計,0,4
理學院,數學系碩士班,0,0
,物理學系碩士班,0,1
,化學學系碩士班,0,1
,光電科學碩士在職專班,0,1
,總計,0,3
工學院,化學工程與材料工程學系碩士班,1,0
,土木工程學系碩士班,0,2
,土木工程學系碩士在職專班,2,0
,機械工程學系碩士班,0,2
,環境工程研究所碩士班,1,0
,總計,4,4
管理學院,企業管理學系碩士班,3,1
,企業管理學系碩士在職專班,1,0
,產業經濟研究所碩士班,1,1
,財務管理研究所,0,0
,工業管理研究所,0,0
,產業經濟研究所碩士班,1,1
,資訊管理學系碩士班,0,0
,人力資源管理研究所碩士班,0,0
,工業管理研究所碩士班,0,0
,總計,5,2
資電學院,電機工程學系碩士班,1,0
,資訊工程學系碩士班,2,0
,總計,3,0
地科學院,大氣物理研究所碩士班,0,0
,地球物理研究所碩士班,0,0
,地球物理研究所碩士班,0,0
,太空科學研究所碩士班,0,2
,應用地質研究所碩士班,0,0
,,0,0
,總計,0,2
總         計  ：,,12,15
