國立中央大學九十學年度第二學期學士班退學人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
院別,系所別,各年級退學生人數,,,,
,,一年級,二年級,三年級,四年級,
文學院,中國文學研究所,,,,,1.1
文學院,中國文學系,,,,,
,英美語文學系,0,0,0,1,
,法國語文學系,0,0,0,1,
,總計,0,0,0,2,
,數學研究所,0,,,0,
理學院,數學系,0,1,3,1,
,物理學系,0,3,2,3,
,化學學系,1,1,0,0,
,生命科學系,0,0,0,0,
,,0,,,0,
,總計,1,5,5,4,
工學院,化學工程學系,0,0,0,0,
,土木工程學系,1,0,1,1,
,機械工程學系,2,0,1,0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,總計,3,0,2,1,
管理學院,企業管理學系,0,0,0,0,
,資訊管理學系,1,1,0,1,
,經濟學系,1,0,0,0,
,財務金融學系,0,1,0,1,
,,,,,,
,,,,,,
,總計,2,2,0,2,
資電學院,電機工程學系,0,1,0,1,
,資訊工程學系,0,3,0,1,
,,,,,,
,總計,0,4,0,2,
地科學院,大氣科學學系,0,1,2,1,
,地球科學學系,1,0,1,1,
,,,,,,
,總計,1,1,3,2,
總         計  ：,,7,12,10,13,
