1011「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,企業管理,財務金融,會計,資訊管理,水土保持,企業資源規劃,光電(1002退場),軟體工程,積體電路設計(99一退場),地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,奈米科技,創意,電子商務(EC),綠色科技(98二退場),嵌入式系統,華語文教學,RFID物流與供應鏈(1011退場),世界文明史,電影與視覺文化,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,系(所)總合
中國文學系,4,,2,,,,,,,,,10,,,,,,7,,,,23,,3,,,,2,,1,52
英美語文學系,13,,,2,,,,,,,,2,,,,,,2,1,,,3,,1,,,,1,,1,26
法國語文學系,8,1,1,,,,,,,,,7,,,,,,1,2,,,4,,,,,,,,2,26
英美語文學系碩士班,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,9
法國語文學系碩士班,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2
藝術學研究所碩士班,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,3
中國文學系碩士在職專班,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
學習與教學研究所博士班,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
數學系,1,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,1,6
物理學系,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
生命科學系,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
光電科學與工程學系,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
數學系碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,5
統計研究所博士班,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
土木工程學系,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2
機械工程學系,1,,,,,5,1,,,,,,,,,,,4,,,,,,,,2,,,,,13
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,4
土木工程學系博士班,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,2
機械工程學系博士班,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2
企業管理學系,,6,13,2,,74,,,1,,,6,,,,,,,9,,,2,6,1,,,1,,2,3,126
資訊管理學系,,,5,,,117,,1,,,,1,,,,,,2,36,,4,1,,,,,,,,28,195
財務金融學系,1,,58,3,,22,,,,,,1,,,,,,,4,,,1,1,,,,,,,1,92
經濟學系,,,8,,,9,,,,,,2,,,,,,1,1,,,,,1,,,1,,,1,24
企業管理學系碩士班,,,,,,56,,,,,,,,,,4,,,,,,,,,,,,,,,60
工業管理研究所碩士班,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,17
財務金融學系碩士班,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,5
會計研究所碩士班,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,26
工業管理研究所碩士在職專班,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,28
資訊管理學系博士班,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
工業管理研究所博士班,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,5
資訊工程學系,,,,,,1,,,,,,,,1,,,,,3,,,,,,,,,,,7,12
通訊工程學系,2,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,20,26
資訊工程學系碩士班,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,3
網路學習科技研究所碩士班,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
資訊工程學系博士班,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
大氣科學學系,1,1,,1,,,,,,36,67,,,8,,,,1,,,,,,,,,,,,,115
地球科學學系,,,,,,,,,,50,28,,,1,,,,,,,,,,,,,,,,,79
客家語文研究所碩士班,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
客家政治經濟研究所碩士班,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
總合,32,9,88,10,,364,1,3,1,86,95,29,9,11,10,4,,22,57,1,4,41,7,6,3,5,3,3,2,73,979
