1021「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,企業管理,財務金融,會計,資訊管理,水土保持,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,電影與視覺文化(101二退場),太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,統計學,氣候變遷調適,系(所)總合
中國文學系,3,,2,1,,,,,,8,,,,,2,,,22,2,,,,,,,,,40
英美語文學系,12,3,1,,,2,,,,,,,,,,3,,2,7,,,,,,2,,,32
法國語文學系,10,,1,,,,,,,9,,,,,1,2,,3,,,,,,,2,,,28
中國文學系碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
英美語文學系碩士班,,,,,,,,,,,10,,,,,,,,,1,,,,,,,,11
法國語文學系碩士班,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,3
歷史研究所碩士班,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
藝術學研究所碩士班,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,2
學習與教學研究所博士班,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
數學系,1,4,3,1,,,,,,,,,,,2,,,,1,,,,,,1,7,,20
物理學系,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2
光電科學與工程學系,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,2
統計研究所碩士班,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3
統計研究所博士班,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
土木工程學系,,1,1,,,,,,,1,,,,,1,,,,,,,,,,1,,,5
機械工程學系,,,,,,1,,,,,,,,,1,,1,,,,,,,,1,,,4
化學工程與材料工程學系,,,,,,,,,,,,,,,1,,,,,,1,,,,2,,,4
土木工程學系博士班,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,2
機械工程學系博士班,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
企業管理學系,,2,10,1,,63,,,,6,,,,,2,7,,3,1,,,,,,5,,,100
資訊管理學系,,4,8,,,98,,,,,,,,,2,27,,1,1,,,,,,29,,,170
財務金融學系,,,34,,,13,,,,1,,,,,,,,,,,,,,,,,,48
經濟學系,,,8,,,8,,,,,,,,,,,,,1,,,1,,1,4,,,23
企業管理學系碩士班,,,,1,,67,,,,,,,,10,,1,,,,,,1,,,1,,,81
產業經濟研究所碩士班,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,2
工業管理研究所碩士班,,,,,,27,,,,,,,,,,,,,,,,,,,,,,27
財務金融學系碩士班,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,3
會計研究所碩士班,,,,,,13,,,,,,,,,,,,,,,,,,,,,,13
工業管理研究所碩士在職專班,,,,,,33,,,,,,,,,,,,,,,,,,,,,,33
資訊管理學系博士班,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,1,1,,,,,,,,,,,,,2,,,,,,,,,,2,,,6
資訊工程學系,,,,,,1,,,,,,,,,,1,1,,,,,,,,4,,,7
通訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,6,,,7
網路學習科技研究所碩士班,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
大氣科學學系,,,1,1,,,,38,61,,,4,,,1,,,,,,,,,,1,,9,116
地球科學學系,,,,,1,,,35,32,,,2,,,,,,1,,,,,,,,,2,73
客家語文暨社會科學學系客家語文碩士班,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
客家語文暨社會科學學系客家政治經濟碩士班,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
總合,27,15,70,5,1,328,,73,93,25,11,8,6,11,15,43,3,38,15,3,2,3,,1,62,7,11,876
