1042「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,企業管理,財務金融,會計,資訊管理(103二退場),水土保持(102二退場),企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,綠色企業管理,性別教育,科技與社會,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,系(所)總合
中國文學系,5,2,1,1,,,,,,4,,,,,,,,22,1,,,,,,,,,,36
英美語文學系,17,19,3,,,1,,,,3,,,,,,1,,4,7,,,,3,,,,,,58
法國語文學系,9,8,1,1,,,,,,9,,,,,,1,,3,,,,,1,,,,,,33
英美語文學系碩士班,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4
亞際文化研究國際碩士學位學程(台灣聯合大學系統),,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2
中國文學系碩士在職專班,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
哲學研究所博士班,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
學習與教學研究所博士班,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2
數學系,,6,5,,,,,,,,,,,,,,,,2,,,,,5,,,,,18
物理學系,,,,,,,,1,1,,,5,,,1,,,,1,,,1,1,,1,,,,12
化學學系,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,4
光電科學與工程學系,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
理學院學士班,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,2
統計研究所碩士班,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,12
光電科學與工程學系碩士班,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
統計研究所博士班,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
土木工程學系,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,,6
機械工程學系,,,2,,,,,,,,,,,,2,,,,,,,,1,,,,,,5
化學工程與材料工程學系,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,2
營建管理研究所碩士班,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,12,24,2,,45,,,,2,,,,,,4,,2,2,,,1,3,,,11,,,108
資訊管理學系,,7,11,,,54,1,,,1,,,,,4,38,1,2,2,,,,26,,,3,,,150
財務金融學系,,,36,,,5,,,,,,,,,,,,,,,,,1,,,3,,,45
經濟學系,,14,15,1,,8,,,,,,,,,2,2,,,1,,,,11,,,5,,,59
企業管理學系碩士班,,,,,,62,,,,,,,,6,,,,,,4,,,,,,6,,,78
產業經濟研究所碩士班,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,3
工業管理研究所碩士班,,,,,,29,,,,,,,,13,,,,,,,,,,,,7,,,49
財務金融學系碩士班,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,11
會計研究所碩士班,,,,,,29,,,,,,,,,,,,,,,,,,,,5,,,34
工業管理研究所碩士在職專班,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,28
企業管理學系博士班,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,4
電機工程學系,,1,,,,,,,,,,,,,1,,,,,,,,5,,,,,,7
資訊工程學系,,1,,,,,,,,,,,,,1,,,,,,,,2,,,,,,4
通訊工程學系,,2,,,,,,,,,,,,,,,,,,,,,10,,,,,,12
大氣科學學系,1,,,,,,,52,44,2,,2,,,,1,,,,,,2,,,85,,,,189
地球科學學系,,,,,1,,,38,26,,,1,,,,,,1,1,,,,,,4,,,,72
客家語文暨社會科學學系,,4,,,,,,,,,,,,,2,,,,,1,,,1,,,,,,8
法律與政府研究所碩士班,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
客家語文暨社會科學學系客家政治經濟碩士班,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,4
生命科學系,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,3
總合,32,78,101,5,1,269,1,91,71,24,6,8,24,19,14,47,1,38,23,5,,6,69,5,90,43,,,1071
