1062「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,綠色企業管理,科技與社會(105二退場),創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,系(所)總合
中國文學系,1,4,4,1,,,6,,1,,,1,5,10,1,,,4,,,,,,,,38
英美語文學系,8,17,4,4,,,2,,,,,,3,2,,,,,,,1,,,,1,42
法國語文學系,9,9,1,,,,13,,,,,2,6,,,,,,,,,,,,2,42
歷史研究所碩士班,,,,,,,1,,,,,,,,,,,,,,,,,,,1
學習與教學研究所碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,1
哲學研究所博士班,,,,,,,,,,,,,,1,,,,,,,,,,,,1
學習與教學研究所博士班,,,,,,,,,,,,,,2,,,,,,,,,,,,2
數學系,,9,1,,,,,,,,,2,,,,,,,16,,,1,,,,29
物理學系,,,,,,,,,3,,,,,,,,,,,,,,,,,3
化學學系,,,,,,,,,,,,,,,,,2,1,,,,,,,2,5
理學院學士班,,,,,,,1,,,,,,,1,,,,,,,,,,,,2
數學系碩士班,,,,,,,,,,1,,,,,,,,,,,,,1,,,2
統計研究所碩士班,,,,,,,,,,12,,,,,,,,,,,,,5,,,17
土木工程學系,1,,,,,,1,,,,,,,,1,,,1,,1,,,,,1,6
機械工程學系,,1,2,,,,,,1,,,,,,,,,3,,,,,,,5,12
機械工程學系碩士班,,,,,,,,,,,,1,,,,,,,,,,,,,,1
企業管理學系,,31,32,54,,,,,,,,1,30,,,,,2,,,7,,,1,2,160
資訊管理學系,,2,4,22,,,1,,,,,2,22,1,,,,23,,,4,,,,4,85
財務金融學系,,,37,7,,,,,,,,,3,,,,,,,,5,,,,,52
經濟學系,,18,22,12,,,3,,,,,1,10,1,,,,5,3,,6,,,,,81
企業管理學系碩士班,,,,48,,,,,,,10,,,,,,,,,,5,,,,,63
產業經濟研究所碩士班,,,,1,,,,,,,,,,,,,,,1,,1,,,,,3
工業管理研究所碩士班,,,,8,,,,,,,,,,,,,,,,,,,,,,8
財務金融學系碩士班,,,,,,,,,,4,,,,,,,,,,,,,,,,4
會計研究所碩士班,,,,25,,,,,,,,,,,,,,,,,,,,,,25
工業管理研究所碩士在職專班,,,,20,,,,,,,,,,,,,,,,,,,,,,20
企業管理學系博士班,,,,1,,,,,,,,,,,,,,,,,1,,,,,2
資訊管理學系博士班,,,,1,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,1,2,,,,,,,,,,1,1,,,,,5,,,,,,,1,11
資訊工程學系,,2,,,,,,,,,,1,,1,,,,1,,2,,,1,,2,10
通訊工程學系,,,,,,,,,2,,,,,,,,,8,,,,,,,2,12
通訊工程學系博士班,,,,1,,,,,,,,,,,,,,,,,,,,,,1
大氣科學學系,,2,,,54,32,1,,6,,,,,,,,,,,86,,,,,2,183
地球科學學系,,,,,30,27,,,,,,,,,1,,,,,12,,,,,2,72
客家語文暨社會科學學系,,1,,,,,,,,,,1,,,1,1,,,,1,,,,1,1,7
法律與政府研究所碩士班,,,3,,,,,,,,,,,,,,,,,,,,,,,3
客家語文暨社會科學學系客家政治經濟碩士班,,,,2,,,,,,,,,,,,,,,,,1,,,,,3
生命科學系,,2,,,,,,,,,,,,,,,,,,1,,,,,,3
生醫科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,1,1
總合,20,100,110,207,84,59,29,,13,17,10,13,80,20,4,1,2,53,20,103,31,1,7,2,28,1014
