1072「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,綠色企業管理,科技與社會(105二退場),創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,系(所)總合
中國文學系,1,3,4,1,,,6,,,,,1,4,5,,,,4,,,1,1,,,,,31
英美語文學系,7,18,3,4,,,1,,,,,,5,4,,,,,,,1,,,,1,,44
法國語文學系,9,15,3,1,,,16,,,,,2,6,5,,,,1,,,,,,,2,,60
法國語文學系碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
學習與教學研究所碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
學習與教學研究所博士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
數學系,,5,1,,,,,,,,,2,,,,,,,8,,,1,,,,,17
物理學系,,,,,,,,,4,,,,,,,,,,,,,,,,,,4
化學學系,,,,,,,,,,,,,,,,,1,1,,,,,,,2,,4
光電科學與工程學系,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
理學院學士班,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2
數學系碩士班,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
統計研究所碩士班,,,,,,,,,,5,,,,,,,,,,,,,6,,,,11
土木工程學系,1,,,,,,1,,,,,1,,,,,,1,,,,,,,1,,5
機械工程學系,,2,,,,,,,1,,,,,,,,,3,,,,,,,5,,11
工學院學士班,,1,,,,,,,,,,,,,,,,,,,,,,,26,,27
化學工程與材料工程學系博士班,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,34,42,56,,,,,,,,,37,,,,,2,1,,10,,,1,2,,185
資訊管理學系,,6,6,31,,,1,,,,,,27,1,,,,7,,,5,,1,,5,2,92
財務金融學系,,,43,4,,,,,,,,,5,,,,,,,,5,,,,,,57
經濟學系,,26,31,13,,,2,,,,,1,7,1,,,,5,2,,5,,,,,,93
企業管理學系碩士班,,,,56,,,,,,,,,,,,,,,,,13,,,,,,69
資訊管理學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
產業經濟研究所碩士班,,,,,,,,,,,,,,,,,,,1,,2,,,,,,3
工業管理研究所碩士班,,,,10,,,,,,,,,,,,,,,,,,,,,,,10
財務金融學系碩士班,,,,,,,,,,1,,,,,,,,,,,1,,,,,,2
經濟學系碩士班,,,,,,,,,,,,,,,,,,,,,5,,,,,,5
會計研究所碩士班,,,,28,,,,,,,,,,,,,,,,,,,,,,,28
工業管理研究所碩士在職專班,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系博士班,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
電機工程學系,,,1,,,,,,1,,,,1,,,,,4,,,,,,,2,,9
資訊工程學系,,2,,,,,,,,,,1,,1,,,,2,,,,,2,,3,2,13
通訊工程學系,,,,,,,,,1,,,,,,,,,7,,,,,,,3,1,12
資訊電機學院學士班,,,,,,,,,,,,,,,,,,21,,,,,,,,,21
通訊工程學系博士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
大氣科學學系,,1,,,47,27,,,8,,,,,,,,,,,72,,,,,2,,157
地球科學學系,,,,,51,27,,,,,,,,,,,,,,11,,,,,2,,91
客家語文暨社會科學學系,,,,,,,,,,,,,,1,1,,,,,,,,,1,4,,7
法律與政府研究所碩士班,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
客家語文暨社會科學學系客家政治經濟碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
生命科學系,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,3
生醫科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
總合,18,113,138,209,98,54,29,,15,6,,8,92,22,1,,1,58,12,84,49,2,11,2,61,5,1088
