1112「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史(110一退場),文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,永續企業管理(原綠色企業管理),創意與創業,統計,氣候與環境變遷(原氣候變遷調適),商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,量子技術,智慧製造,影響力衡量與管理,生科職涯,系(所)總合
中國文學系,6,1,3,,,,7,,,,,3,1,7,1,,1,,,1,1,,,3,,6,,3,,13,,,,,,,,1,1,59
英美語文學系,7,1,2,,,,1,,,,,,4,3,,,3,,,1,1,,,,,2,,5,,6,,,,3,,,,,,39
法國語文學系,6,7,,2,,,1,,,,,,2,11,,,1,,,,,,,3,,2,,10,,8,,,,,,,,,,53
文學院學士班,1,1,,,,1,,,,,,,,,,,1,,1,,1,,1,,,,,2,,3,,,,,1,,,1,,14
法國語文學系碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
數學系,1,6,2,,,,,,,,,1,,,,,2,3,,,,,,1,3,,,2,9,,,,3,,,,,,,33
物理學系,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,6
化學學系,,2,,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,,,,,6
光電科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,,,,,8
理學院學士班,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,4
統計研究所碩士班,,,,,,,,,,4,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,7
土木工程學系,,4,1,,,,1,,,,,,,,,,,,,,,,,2,,,,,61,,,,,,,,,,,69
機械工程學系,,3,1,,,,,,,,,,,,,,1,,,,,,,,1,,3,,123,,1,,,,,,3,,,136
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,,,,8
工學院學士班,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,1,,,,,,,,1,,,32
土木工程學系碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2
企業管理學系,,23,28,74,1,,,,,1,,,22,1,,,3,,,20,,,2,1,1,4,,9,,31,,,4,,10,,,3,,238
資訊管理學系,,6,6,13,,,,,,,,,11,,,,2,,,14,,,,,16,3,,,,57,,1,10,1,,,,,,140
財務金融學系,1,1,41,12,1,,,,,,,,,,1,,4,3,,22,,,,1,1,3,,,,27,,,9,1,1,,,,,129
經濟學系,3,9,22,2,,,,,,,,,1,,,,1,1,,9,,,1,1,,2,,,,5,,,2,1,1,,,1,,62
企業管理學系碩士班,,,1,54,,,,,,,1,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,90
資訊管理學系碩士班,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
產業經濟研究所碩士班,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
財務金融學系碩士班,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
經濟學系碩士班,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3
會計研究所碩士班,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
國際經營管理碩士學位學程,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4
工業管理研究所碩士在職專班,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
電機工程學系,,,,,,1,,,,,,,,,,,,,,,,,,2,1,,1,1,27,,,,,,,,1,,,34
資訊工程學系,,2,,,2,,,,,,,1,1,,,,,,,,,,,1,7,1,,,23,,,,3,,,,,,,41
通訊工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,5
資訊電機學院學士班,,,,,,,,,,,,,,,,,89,,,,,,,,1,,1,,,,,,,,,,1,,,92
大氣科學學系,,,,1,38,15,,,1,,,,,,,,,,32,,,,,,,,5,,21,,,,,,,,,,,113
地球科學學系,,,,,52,5,,,1,,,,,,,,,,22,,,,,1,,,,,4,,,,1,,,,,,,86
地球科學學院學士班,,1,,,3,4,,,1,,,,,,,,,,4,,,,,5,,1,2,,10,,,,,,,,,,,31
太空科學與工程學系,,,,,,,,,1,,,,,,,,,,,,,,,,,,7,1,9,,,,,,,,,,,18
客家語文暨社會科學學系,,2,1,,,,,,,,,,1,1,,,,,,,,,1,1,,3,,2,,21,,1,,3,,,,,,37
客家語文暨社會科學學系客家社會及政策碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
生命科學系,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,,14,,,,,,,,,,6,24
生醫科學與工程學系,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,26,,,,,,,,,,,29
認知神經科學研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
總合,25,73,109,199,98,26,10,,5,8,1,5,43,24,2,,110,7,59,104,3,3,5,52,34,29,21,36,351,171,2,3,32,11,13,1,6,7,7,1695
