1122「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史(110一退場),文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史(110二退場),永續企業管理(原綠色企業管理),創意與創業,統計,氣候與環境變遷(原氣候變遷調適),商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,量子技術,智慧製造,影響力衡量與管理,生科職涯,菁英領導 elite,法律與政治,系(所)總合
中國文學系,4,1,2,,,,2,,,,,,,5,,,,,,1,1,,1,3,,3,,2,,11,,,,,1,,,2,1,,1,41
英美語文學系,7,1,2,,,,,,,,,,1,2,,,4,,,1,1,,1,,,1,,5,,10,,,,2,2,,,1,1,,,42
法國語文學系,3,5,,2,,,,,,,,,,12,,1,1,,,,,,1,3,,1,,8,,10,,,,,1,,,1,,,,49
文學院學士班,1,1,,,,1,,,,,,,,,,,2,,1,,1,,1,,,1,,2,,4,,,,,1,,,1,,,1,18
法國語文學系碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
中國文學系博士班,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2
數學系,1,4,2,,,,,,,,,,,,,,8,3,,,,,1,1,1,,,1,8,,,1,2,,1,2,,1,,,,37
物理學系,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,5,,,,,,,1,,,,,,10
化學學系,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3
光電科學與工程學系,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,3,,,,,,9
理學院學士班,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,4
統計研究所碩士班,,,,,,,,,,13,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,14
土木工程學系,,2,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,59,,,,,,,,,,,,,64
機械工程學系,,2,1,,,,,,,,,,,,,,2,,,,,,,,2,,4,,133,,2,1,,,,,3,,,,,150
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,7
工學院學士班,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,2,,,,,,,,1,,,,,88
企業管理學系,,20,8,50,,,,,,1,,,12,,,,1,,,11,,,4,,1,2,,2,,35,,,5,,6,,,5,,,2,165
資訊管理學系,,6,6,13,,,,,,,,,16,,,,6,,,14,,,2,,27,3,,1,,102,,,12,1,2,,,2,,,1,214
財務金融學系,1,1,40,12,1,,,,,,,,1,,1,,3,4,,22,,,,1,1,2,,,,32,,,28,,1,,,,,,,151
經濟學系,2,19,23,2,,,,,,,,,,,,,,1,,6,,,1,1,,2,,,,6,,,4,,1,,,1,,,1,70
企業管理學系碩士班,,,1,59,,,,,,,,,1,,,,,,,43,,,1,,1,,,,,,,,,,1,,,1,,,,108
資訊管理學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
產業經濟研究所碩士班,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
經濟學系碩士班,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2
會計研究所碩士班,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
國際經營管理碩士學位學程,,,,5,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,1,,,1,,,,10
工業管理研究所碩士在職專班,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
企業管理學系博士班,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2
電機工程學系,,,,,,1,,,,,,,,,,,5,,,,,,,1,1,,1,1,29,,,,2,,,,1,,,,,42
資訊工程學系,1,2,,,3,,,,,,,1,1,,,,,,,,,,,1,4,1,1,,42,1,,1,3,,,,,,,,,62
通訊工程學系,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,11,,1,,,2,,,,,,,,17
資訊電機學院學士班,,,,,,,,,,,,,,,,,96,,,,,,,,,,2,,2,,,,,,,,1,,,,1,102
大氣科學學系,1,,,,26,7,,,1,,,,,1,,,,,50,,,,,,,,,,23,,,,,,,,,,1,,1,111
地球科學學系,,1,,,59,4,,,2,,,,,,,,,,15,,,,,,,,,,4,,,,1,,,,,,,,,86
地球科學學院學士班,,,,,1,3,,,,,,,,,,,,,4,,,,,5,,,,,13,,,,,,,,,,,,,26
太空科學與工程學系,,,,,,,,,4,,,,,,,,2,,,,,,,,,,7,1,8,,,,,,,,,,,,,22
太空科學與工程學系博士班,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
客家語文暨社會科學學系,,2,,,,,,,,,,,1,2,,,,,,,,,2,1,,2,,1,,23,,,2,1,2,,,2,,,3,44
生命科學系,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,,21,,,,,,,,,,14,,,39
生醫科學與工程學系,,1,,,,,,,,,,,,,,,1,,,,,,1,,2,,1,,28,,,1,,,1,,,1,,,,37
認知神經科學研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
總合,21,73,88,173,91,16,3,,10,14,,1,33,23,1,1,133,9,70,102,3,1,17,102,43,20,18,25,401,235,3,4,59,6,21,7,6,19,17,,11,1880
