1141「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史(110一退場),天文,財務工程,英文MBA,創意(113一退場),電子商務(EC),華語文教學,永續企業管理(原綠色企業管理),創意與創業,統計,氣候與環境變遷,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全(113一退場),敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際(113一退場),人工智慧國際(113一退場),金融科技,跨領域榮譽,社會企業與社會創新,量子技術,智慧製造,影響力衡量與管理,生科職涯,菁英領導 elite,法律與政治,法律,人工智慧探索應用,人工智慧工業應用,人工智慧自然語言技術,人工智慧視覺技術,半導體國際,前瞻半導體,系(所)總合
中國文學系,,2,1,,,,1,,,,,,2,,,,,,1,,,,,,,1,,5,,,,,,,,1,1,,3,1,,,,,,,19
英美語文學系,2,7,,,,,,,,,,,,,3,1,,,1,,1,,,1,,2,,10,,,,,1,,,1,1,1,,1,,,,,,,33
法國語文學系,1,1,1,2,,,,,,,,,3,1,,,,,,,1,,,,,2,,9,,,1,,1,,,1,1,,,3,,,1,,,,29
文學院學士班,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,,1,,,,,,,,1,,,,,,,,7
中國文學系博士班,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2
數學系,,3,1,,,,,,,,,,,,2,3,,,,,1,,1,,,,11,,,2,,,,,,,,,,,,1,,,,,25
物理學系,,,,,,,,3,,,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,2,10
化學學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,3
光電科學與工程學系,,,1,,,,,,,,,,,,,,,,,,,,,,1,,4,,2,,,,,10,,,,,,,,,,,,7,25
理學院學士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,4
化學學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
統計研究所碩士班,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
土木工程學系,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,6
機械工程學系,,1,,1,,,,,,,2,,,,3,,,,,,,1,1,,,,73,,1,1,,,1,,,,,,,,,4,,,,14,103
工學院學士班,,,,,,,,,,,,,,,,,,,,,,71,,,,,1,,,,,,,,4,,,,,,,,,,,8,84
機械工程學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
化學工程與材料工程學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
企業管理學系,,9,4,27,,,,,,,,9,,,5,1,,8,,,,1,,,,,,31,,,6,,,,,,,,2,1,,,,,,,104
資訊管理學系,,4,3,4,,,,,,,,7,,,6,,,8,,,1,1,10,2,,1,,111,,,9,1,1,,,1,,,4,,1,,,,,,175
財務金融學系,,,14,5,,,,,,,,2,,,2,1,,9,,,,,,,,1,,22,,,26,,,,,,2,,1,,,,,,,,85
經濟學系,1,13,18,7,,,,,,,,5,1,,,,,1,1,,1,,1,,,,,10,,,11,,2,,,1,2,,2,1,,,,,,,78
企業管理學系碩士班,,,1,47,,,,,,,,,,,,,,26,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,75
資訊管理學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
財務金融學系碩士班,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
經濟學系碩士班,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
會計研究所碩士班,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
國際經營管理碩士學位學程,,,,8,,,,,,,,1,,,,,,2,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,14
工業管理研究所碩士在職專班,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
企業管理學系博士班,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
電機工程學系,,,,,,,,,,,,,,,6,,,,,,,3,,,,,29,,,1,,,,,,,,1,,,,,,,,2,42
資訊工程學系,1,2,,,1,,,,,,2,2,,,1,,,,,,,,2,1,1,,62,6,,1,2,,,,,,,,,1,,,,,,,85
通訊工程學系,,1,,,,,,,,,,,,,6,,,1,,,,1,1,,,,13,,,,,,,,,,,,,,,,,,,,23
資訊電機學院學士班,,,,,,,,,,,,,,,94,,,,,,,,,,2,,1,,,,,,,,1,,,,1,,,,,,,1,100
電機工程學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
資訊工程學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2
資訊工程學系碩士在職專班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
大氣科學學系,1,,,,18,1,,2,,,1,,1,,1,,37,,,,,,,1,,,20,,,,,,,,,,1,,1,,,,,,,,85
地球科學學系,,1,,,42,,,1,,,,,,,,,10,,,,,,,,1,,5,,,,,,,,,,,,1,,,,,,,,61
地球科學學院學士班,,1,,,3,1,,4,,,,,,,,,2,,,,,3,,,2,,7,,,,1,,,,,,,,1,,,,,,,1,26
太空科學與工程學系,,,,,2,,,11,,,,,,,2,,,,,,,,,,8,,3,,,,,,,,,,,,,,1,,,,,,27
太空科學與工程學系博士班,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
客家語文暨社會科學學系,,1,,,,,,,,,,1,3,,1,,,1,,,1,,,,,,,11,,,,,1,,,1,1,,5,2,,,,,,,29
生命科學系,,3,,,,,,,,,1,,,,,,,,1,,,,,1,,,30,,,,,,,,,,3,,,,,,,,,,39
