962「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,企業管理,財務金融,會計,資訊管理,半導體,材料,環境與工業安全,機械設計,工程管理,橋樑工程,水土保持,生物資訊,企業資源規劃,光電,工程防災,軟體工程,積體電路設計,地球科學資訊,環境地球科學,藝術史,文化研究,環境生物化學,天文,都市環境,財務工程,英文MBA,防災科技,奈米科技,創意,通訊工程,無線電工程,應用倫理學,電子商務(EC),腦科學與數位學習科技,綠色科技,嵌入式系統,華語文教學,RFID物流與供應鏈,系(所)總合
中國文學系,6,,,3,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,19,,40
英美語文學系,21,,,1,,,,,,,,,1,,,,,,,8,,,,,,,,,,,,,,,,,3,,34
法國語文學系,7,,,,,,,,,,,,,,,,,,,13,,,,,,,,,6,,,,,,,,,,26
中國文學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3
英美語文學系碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
法國語文學系碩士班,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
數學系,,1,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,3,,,,,,,,,,7
物理學系,,,,1,,,,,,,,,,3,,,,,,2,,,6,,,,,2,2,,,,,,,,,,16
化學學系,,,,,,,,,,,,,,,,,,,,1,,5,,,,,,2,1,,,,,,,,,,9
生命科學系,1,1,,1,,1,,,1,,1,2,,1,1,,,,1,1,,2,1,,,,,2,3,,,1,1,,,,,,22
數學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2
生物資訊與系統生物研究所博士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
土木工程學系,,,,1,,1,,,2,,7,,,,,,,,,,,,,4,,,,,2,,,,,,,,,,17
機械工程學系,,2,,,,3,,,2,,,,,2,,,1,,,,,,,,,,,12,2,,,,,,,,,,24
化學工程與材料工程學系,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,9,,,,,,,,,,,14
機械工程學系博士班,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4
環境工程研究所博士班,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,15,21,5,,,,,,,,,94,,,,1,,,1,,,,,,,,,1,,,,3,,,,,2,143
資訊管理學系,,,4,,,,,,,,,,98,,,1,,,,2,,,,,,,,,2,,,,86,,,,,8,201
財務金融學系,,1,45,,,,,,,,,,4,,,,,,1,2,,,,,,,,,1,,,,,,,,,,54
經濟學系,,8,1,,,,,,,,,,1,1,,,,,,3,,,,,,,,,1,,,,,,,,,,15
企業管理學系碩士班,,,,,,,,,,,,,33,,,,,,,,,,,,,6,,,,,,,,,,,,,39
資訊管理學系碩士班,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,5,,,,,,34
產業經濟研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
工業管理研究所碩士班,,,,,,,,,,,,,37,,,,,,,,,,,,,1,,,,,,,,,,,,,38
人力資源管理研究所碩士班,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3
財務金融學系碩士班,,,,,,,,,,,,,1,,,,,,,,,,,,8,21,,,,,,,,,,,,,30
工業管理研究所碩士在職專班,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,13
企業管理學系博士班,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2
資訊管理學系博士班,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
工業管理研究所博士班,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,1,,,,,,,,,,,1,,,,,33,,,,,,1,,,,,,,,10,,,,,,,,46
資訊工程學系,,,,,,,,,,,,2,1,,,,1,,,4,,,,,,,,,2,,,,,,,,,,10
通訊工程學系,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系碩士班,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2
