100學年度第二學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,企業管理,財務金融,會計,資訊管理,水土保持,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,奈米科技,創意,應用倫理學(99二退場),電子商務(EC),嵌入式系統,華語文教學,RFID物流與供應鏈(1011退場),世界文明史,電影與視覺文化,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,系(所)總合
中國文學系,,,,,,,,,,1,,,,,,,1,,,5,,,,,,,,1,8
英美語文學系,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
法國語文學系,,,,1,,,,,,4,,,,,,,,1,,,,,,,,2,,1,9
英美語文學系碩士班,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
藝術學研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
數學系,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3
物理學系,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,5
生命科學系,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
統計研究所碩士班,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,8
土木工程學系碩士班,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
能源工程研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2
企業管理學系,,2,5,,,60,,,,2,,,,,,,,,,,6,,,,,,,1,76
資訊管理學系,,2,3,,,18,,,,,,,,,,,,7,,,1,,,,,,2,3,36
財務金融學系,,,40,,,1,,,,,,,,,,,,,,,,,,,,,,,41
經濟學系,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,6
企業管理學系碩士班,,,,,,29,,,,,,,,2,,,,,,,,,,,,,,,31
工業管理研究所碩士班,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
財務金融學系碩士班,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,6
會計研究所碩士班,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,9
工業管理研究所碩士在職專班,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,13
資訊工程學系,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
通訊工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
資訊工程學系碩士班,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3
大氣科學學系,,,,,,,,17,21,,,1,,,,,,,,,,,,,,,,,39
地球科學學系,,,,,,,,25,13,,,,,,,,,,,,,,,,,,,,38
總合,,9,48,1,2,136,3,42,34,8,1,6,14,2,,,1,8,1,5,7,,1,2,,2,3,11,347
