102學年度第一學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,企業管理,財務金融,會計,資訊管理,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,統計學,氣候變遷調適,系(所)總合
中國文學系,,,,,,,,,1,,,,,,,,,,,,,,,,,1
數學系,,,,1,,,,,,,,,,,,,,,,,,,,,,1
物理學系,,,,,,,,,,,1,,,,,,,,,,,,,,,1
資訊管理學系,,,,,2,,,,,,,,,,,,,,,,,,,,,2
企業管理學系碩士班,,,,,2,,,,,,,,,,,,,,,,,,,,,2
工業管理研究所碩士在職專班,,,,,1,,,,,,,,,,,,,,,,,,,,,1
大氣科學學系,,,,,,,,2,,,,,,,,,,,,,,,,,,2
地球科學學系,,,,,,,,1,,,,,,,,,,,,,,,,,,1
總合,,,,1,5,,,3,1,,1,,,,,,,,,,,,,,,11
