104學年度第二學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,企業管理,財務金融,會計,資訊管理(103二退場),企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,綠色企業管理,性別教育,科技與社會,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,系(所)總合
中國文學系,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,7
英美語文學系,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,3
英美語文學系碩士班,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
數學系,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,3
物理學系,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,3
統計研究所碩士班,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2
機械工程學系,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
企業管理學系,,,13,1,24,,,,1,,,,,,,,,1,,,1,1,,,5,,,47
資訊管理學系,,2,1,,20,,,,,,,,,,6,,1,,,,,4,,,,,,34
財務金融學系,,,28,,,,,,,,,,,,,,,,,,,,,,,,,28
經濟學系,,3,4,,2,,,,,,,,,,,,,1,,,,,,,,,,10
企業管理學系碩士班,,,,,15,,,,,,,,3,,,,,,,,,,,,,,,18
工業管理研究所碩士班,,,,,13,,,,,,,,11,,,,,,,,,,,,,,,24
財務金融學系碩士班,,,,,,,,,,,,5,,,,,,,,,,,,,,,,5
會計研究所碩士班,,,,,10,,,,,,,,,,,,,,,,,,,,,,,10
工業管理研究所碩士在職專班,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
電機工程學系,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
通訊工程學系,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2
大氣科學學系,,,,,,,27,27,,,,,,,,,,,,,,,,12,,,,66
地球科學學系,,,,,,,21,12,,,,,,,,,,,,,,,,1,,,,34
總合,5,8,47,1,90,,48,39,1,1,2,7,14,1,6,,5,3,,,1,6,1,14,5,,,305
