105學年度第二學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,綠色企業管理,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,系(所)總合
中國文學系,,,,,,,1,,,,,,,2,,,,,,,,,,,3
英美語文學系,2,1,1,,,,3,,,,,,1,,,,,,,,,,,,8
法國語文學系,,3,,,,,2,,,,,,,,,,,,,,,,,,5
英美語文學系碩士班,,,,,,,,1,,,,,,,,,,,,,,,,,1
數學系,,2,,,,,,,,,,,,,,,,2,,,,,,,4
物理學系,,,,,,,,,4,,,,,,,,,,,,,,,,4
統計研究所碩士班,,,,,,,,,,8,,,,,,,,,,,,,,,8
光電科學與工程學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,1
營建管理研究所碩士班,,,1,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,,10,17,,,,,,,,,,,,,,,,1,,,,,28
資訊管理學系,,,3,11,,,,,,,,,6,,,,12,,,3,,,,,35
財務金融學系,,,14,,,,,,,,,,,,,,,,,1,,,,,15
經濟學系,,2,4,,,,,,,,,,,,,,,,,,,,,,6
企業管理學系碩士班,,,,22,,,,,,,,,,,,,,,,2,,,,,24
產業經濟研究所碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,1
工業管理研究所碩士班,,,,14,,,,,,,2,,,,,,,,,,,,,,16
財務金融學系碩士班,,,,,,,,,,8,,,,,,,,,,,,,,,8
會計研究所碩士班,,,,17,,,,,,,,,,,,,,,,2,,,,,19
工業管理研究所碩士在職專班,,,,1,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,,,,,,,,,,,,,,,,,4,,,,,,,,4
資訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,1
通訊工程學系,,,,,,,,,,,,,,,,,3,,,,,,,,3
大氣科學學系,,,,,10,20,,,,,,,,,,,,,30,,,,,,60
地球科學學系,,,,,17,13,,,,,,,,,,,,,,,,,,,30
客家語文暨社會科學學系,,2,,,,,,,,,,,,,,,,,,,,,,,2
總合,2,10,33,83,27,33,6,1,4,16,2,,7,2,,,20,2,30,10,,,,,288
