100學年度第一學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,企業管理,財務金融,會計,資訊管理,材料,水土保持,企業資源規劃,光電,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,都市環境,財務工程,英文MBA,奈米科技,創意,電子商務(EC),嵌入式系統,華語文教學,RFID物流與供應鏈,世界文明史,電影與視覺文化,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,系(所)總合
中國文學系,1,,,,,,,,,,,6,,,,,,,1,,,12,,2,,,,,,,22
英美語文學系,1,,,2,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,6
法國語文學系,,,,,,,,,,,,5,,,,,,,,,,2,,,,,,,,1,8
法國語文學系碩士班,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
藝術學研究所碩士班,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
數學系,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
物理學系,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,6
生命科學系,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
機械工程學系,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
企業管理學系,,2,4,,,,26,,,,,4,,,,,,,1,1,,,11,,,,,,1,2,52
資訊管理學系,,,2,,,,15,,,,,1,,,,,,,1,13,,,,,,,,,1,4,37
財務金融學系,,,34,1,,,8,,,,,,,,,,,,,1,,1,,,,,,,,,45
經濟學系,,,1,,,,2,,,,,1,,,,,,,1,,,,,,,,,,,,5
企業管理學系碩士班,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,12
工業管理研究所碩士班,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
會計研究所碩士班,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,13
工業管理研究所碩士在職專班,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
資訊工程學系,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,1,,,4
通訊工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
資訊工程學系碩士班,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
資訊工程學系博士班,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
大氣科學學系,,,,,,,,,,9,14,,,6,,,,,1,,,,,,,,,,,,30
地球科學學系,,,,,,,,,,29,7,,,,,,,,,,,,,,,,,,,,36
總合,2,5,41,3,,,85,,2,38,21,17,,13,,,,,5,16,1,19,11,3,,1,,2,2,14,301
