100學年度第二學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,企業管理,財務金融,會計,資訊管理,水土保持,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,奈米科技,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,電影與視覺文化,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,系(所)總合
中國文學系,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,3
英美語文學系,5,,,,,,,,,1,,,,,,,,,1,,,,,,,1,8
法國語文學系,1,,,,,,,,,3,,,,,,,,,,,,,,,,,4
英美語文學系碩士班,,,,,,,,,,,4,,,,,,,,,,,,,,,,4
學習與教學研究所博士班,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
數學系,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2
光電科學與工程學系,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
土木工程學系碩士班,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
土木工程學系博士班,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
企業管理學系,,3,,1,,17,,,,1,,,,,,,4,,,1,,,,,1,3,31
資訊管理學系,,1,,,,36,,,,,,,,,,,4,,,,,,,,,14,55
財務金融學系,,,5,,,2,,,,,,,,,,,1,,,,,,,,,,8
經濟學系,,,2,,,3,,,,,,,,,,,,,,,,,,,,,5
企業管理學系碩士班,,,,,,18,,,,,,,,1,,,,,,,,,,,,,19
工業管理研究所碩士班,,,,,,3,,,,,,,,,,,,,,,,,,,,,3
財務金融學系碩士班,,,,,,,,,,,,,6,,,,,,,,,,,,,,6
工業管理研究所碩士在職專班,,,,,,37,,,,,,,,,,,,,,,,,,,,,37
資訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,,2,3
通訊工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
資訊工程學系碩士班,,,,,,2,3,,,,,,,,,,,,,,,,,,,,5
大氣科學學系,1,,,,,,,7,14,,,,,,,,,,,,,,,,,,22
地球科學學系,,,,,,,,21,12,,,1,,,,,,,,,,,,,,,34
總合,9,4,7,1,2,118,3,28,26,5,4,1,7,1,,,10,,3,1,,,1,1,1,23,256
