102學年度第二學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,企業管理,財務金融,會計,資訊管理,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,統計學,氣候變遷調適,系(所)總合
中國文學系,1,,,,,,,,,,,,,,,,1,,,,,,,,,2
英美語文學系,2,1,,,,,,,1,,,,,,1,,,3,,,,,,,,8
法國語文學系,1,,,,,,,,,,,,,1,,,1,,,,,1,,,,4
數學系,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,5
物理學系,,,,,,,,1,,,1,,,,,,,1,,,,,,,1,4
土木工程學系,,,,,,,,,,,,,,,,,,1,,,,,,,,1
企業管理學系,,1,8,1,13,,,,,,,,,,,,2,,,,,,,,,25
資訊管理學系,,1,,,28,,,,,,,,,1,18,,,1,,,,,9,,,58
財務金融學系,,,12,,,,,,,,,,,,,,,,,,,,,,,12
經濟學系,,,3,,1,,,,,,,,,,,,,,,,,,2,,,6
企業管理學系碩士班,,,,,13,,,,,,,,3,,,,,,,,,,,,,16
工業管理研究所碩士班,,,,,1,,,,,,,,,,,,,,,,,,,,,1
工業管理研究所碩士在職專班,,,,,28,,,,,,,,,,,,,,,,,,,,,28
電機工程學系,,,,,,,,,,,,,,,,,,,,,,,1,,,1
資訊工程學系,,1,,,1,,,,,,,,,,,,,,,,,,5,,,7
通訊工程學系,,,,,,,,,,,,,,,,,,,,,,,4,,,4
大氣科學學系,,,,,,,14,13,,,2,,,,,,,,,,,,,,10,39
地球科學學系,,,,,,,8,2,,,,,,,,,,,,,,,,,,10
總合,4,5,25,1,85,,22,16,1,,3,,3,2,19,,4,7,,,,1,21,1,11,231
