103學年度第一學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,企業管理,財務金融,會計,資訊管理,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,統計,氣候變遷調適,商業智慧與分析,系(所)總合
中國文學系,2,,1,,,,,,1,,,,,,,,10,,,,,,,,,,14
英美語文學系,6,12,1,,,,,,1,,,,,,1,,1,1,,,,,,,,,23
法國語文學系,,3,,1,,,,,4,,,,,,,,2,,,,,,1,,,,11
亞際文化研究國際碩士學位學程,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
哲學研究所博士班,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
數學系,,1,1,,,,,,,,,,,,,,,,,,,,,6,,,8
物理學系,,,,,,,1,,,,2,,,,,,,,,,,1,,,,,4
理學院學士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,,,8,,,,,,,,,,,,,,,8
土木工程學系,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
機械工程學系碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
企業管理學系,,3,17,1,16,,,,1,,,,,,1,,,1,,,,,3,,,6,49
資訊管理學系,,1,6,,19,,,,,,,,,,21,1,1,,,,,,4,,,1,54
財務金融學系,,,20,,1,,,,,,,,,,,,,,,,,,,,,6,27
經濟學系,,7,6,1,4,,,,,,,,,2,,,,,,,,,,,,1,21
企業管理學系碩士班,,,,,23,,,,,,,,3,,,,,,,1,,,,,,3,30
工業管理研究所碩士班,,,,,25,,,,,,,,,,,,,,,,,,,,,7,32
會計研究所碩士班,,,,,13,,,,,,,,,,,,,,,,,,,,,,13
工業管理研究所碩士在職專班,,,,,24,,,,,,,,,,,,,,,,,,,,,,24
企業管理學系博士班,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
資訊工程學系,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
通訊工程學系,,2,,,,,,,,,,,,,,,,,,,,,2,,,,4
電機工程學系碩士班,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
大氣科學學系,1,,,,,,25,12,,,,,,,,,,,,,,2,,,35,,75
地球科學學系,,,,,,,10,1,,,,,,,,,,,,,,,,,,,11
客家語文暨社會科學學系,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
總合,9,31,53,3,126,,36,13,7,2,2,8,3,4,24,1,15,2,,1,,3,13,6,35,24,421
