107學年度第一學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,綠色企業管理,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,系(所)總合
中國文學系,,,1,,,,1,,,,,,,,,,,,,1,1,,,,,4
英美語文學系,2,2,1,1,,,,,,,,,1,2,,,,,,,,,,,,9
法國語文學系,3,8,1,1,,,3,,,,,,1,3,,,1,,,,,,,,,21
法國語文學系碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,1
數學系,,1,,,,,,,,,,,,,,,,2,,,,,,,,3
物理學系,,,,,,,,,1,,,,,,,,,,,,,,,,,1
光電科學與工程學系,,,,,,,1,,,,,,,,,,,,,,,,,,,1
數學系碩士班,,,,,,,,,,,,,,,,,,,,,,2,,,,2
統計研究所碩士班,,,,,,,,,,4,,,,,,,,,,,,4,,,,8
土木工程學系,,,,,,,,,,,,1,,,,,,,,,,,,,,1
化學工程與材料工程學系博士班,,,1,,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,6,12,11,,,,,,,,,4,,,,1,1,,2,,,,,,37
資訊管理學系,,4,3,4,,,,,,,,,7,,,,1,,,1,,1,,,2,23
財務金融學系,,,19,1,,,,,,,,,,,,,,,,,,,,,,20
經濟學系,,14,11,2,,,,,,,,,,,,,,,,1,,,,,,28
企業管理學系碩士班,,,,24,,,,,,,,,,,,,,,,5,,,,,,29
資訊管理學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,1
產業經濟研究所碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,1
工業管理研究所碩士班,,,,8,,,,,,,,,,,,,,,,,,,,,,8
財務金融學系碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,1
會計研究所碩士班,,,,16,,,,,,,,,,,,,,,,,,,,,,16
資訊工程學系,,1,,,,,,,,,,,,,,,,,,,,1,,,2,4
通訊工程學系,,,,,,,,,,,,,,,,,,,,,,,,,1,1
大氣科學學系,,,,,12,7,,,4,,,,,,,,,,14,,,,,,,37
地球科學學系,,,,,25,9,,,,,,,,,,,,,1,,,,,,,35
客家語文暨社會科學學系,,,,,,,,,,,,,,1,,,,,,,,,1,,,2
客家語文暨社會科學學系客家政治經濟碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,1
生命科學系,,,1,1,,,,,,,,,,,,,,,,,,,,,,2
總合,5,36,50,71,37,16,5,,5,4,,1,13,7,,,3,3,15,12,1,8,1,,5,298
