108學年度第一學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,綠色企業管理,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,系(所)總合
中國文學系,1,,,,,,3,,,,,,1,2,,,,,,,,,,,,,,7
英美語文學系,1,6,2,,,,,,,,,,4,,,,1,,,,,,,,,,,14
法國語文學系,1,2,2,,,,2,,,,,,2,1,,,,,,,,,,,,,,10
數學系,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3
化學學系,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
理學院學士班,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,6
土木工程學系,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2
機械工程學系,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3
土木工程學系碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
企業管理學系,,,5,20,,,1,,,,,,4,,,,,1,,6,,,,,,,,37
資訊管理學系,,3,2,,,,,,,,,,,,,,1,,,,,,,,,,,6
財務金融學系,,,18,,,,,,,,,,,,,,,,,,,,,,,,,18
經濟學系,,4,8,1,,,,,,2,,,2,,,,,1,,1,,,,,,,,19
企業管理學系碩士班,,,,16,,,,,,,1,,,,,,,,,2,,,,,,,,19
工業管理研究所碩士班,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,8
財務金融學系碩士班,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,4
會計研究所碩士班,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4
電機工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,2
資訊工程學系,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
資訊電機學院學士班,,,,,,,,,,,,,,,,,21,,,,,,,,,,,21
大氣科學學系,,,,,10,5,1,,,,,,,,,,,,17,,,,,,,,16,49
地球科學學系,,,,,10,3,,,1,,,,,,,,,,4,,,,,,,,,18
客家語文暨社會科學學系,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
生醫科學與工程學系,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
總合,4,18,39,48,20,8,7,,1,6,1,,13,4,,,26,2,21,15,,5,,,2,,16,256
