108學年度第二學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,綠色企業管理,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用,積體電路與半導體國際,人工智慧國際,系(所)總合
中國文學系,3,,,,,,1,,,,,2,,3,,,,,,,,,,,,1,,1,1,,,12
英美語文學系,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
法國語文學系,,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,6
數學系,,1,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,5
土木工程學系,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,3
工學院學士班,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,21
企業管理學系,,2,6,22,,,,,,,,,6,,,,,,,5,,,,,,,,,,,,41
資訊管理學系,,1,,3,,,,,,,,,10,,,,,,,1,,,,,,1,,,,,,16
財務金融學系,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
經濟學系,,4,2,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,9
企業管理學系碩士班,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4
財務金融學系碩士班,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,6
工業管理研究所碩士在職專班,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
電機工程學系,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2
資訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
大氣科學學系,,,,,7,7,,,,,,,,,,,,,4,,,,,1,,,1,,,,,20
地球科學學系,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,9
地球科學學院學士班,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
客家語文暨社會科學學系,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
生命科學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
總合,4,10,12,53,14,9,4,,,6,2,2,16,3,,,3,1,4,7,,,,24,3,2,2,1,4,,,186
