109學年度第二學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,永續企業管理(原綠色企業管理),創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,系(所)總合
中國文學系,3,1,2,,,,4,,,,,,,5,,,,,,,,,,3,,1,,1,,3,,,,,,23
英美語文學系,2,,,,,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,6
法國語文學系,1,2,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,8
數學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5
理學院學士班,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,4
數學系碩士班,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
土木工程學系,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,4
機械工程學系,1,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,9
企業管理學系,,4,12,36,,,,,,,,,16,,,,1,,,2,,,,,,,,,,9,,,,,4,84
資訊管理學系,,,,3,,,,,,,,,5,,,,1,,,2,,,,,,,,,,3,,1,1,,,16
財務金融學系,,,16,1,,,,,,,,,,,,,,,,3,,,,,,,,,,8,,,3,,,31
經濟學系,1,2,1,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,7
企業管理學系碩士班,,,,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,7
產業經濟研究所碩士班,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,4
財務金融學系碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
工業管理研究所碩士在職專班,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
電機工程學系,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,,,,,,,4
資訊工程學系,,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,5
資訊電機學院學士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
大氣科學學系,,,,,11,6,,,,,,,,,,,1,,4,,,,,,,,2,,1,,,,,,,25
地球科學學系,,,,,7,1,,,,,,,,,,,,,7,,,,,1,,,,,2,,,,,,,18
地球科學學院學士班,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,,6
太空科學與工程學系,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,6,,,,,,,8
客家語文暨社會科學學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,11,,,,,1,13
生命科學系,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2
總合,8,13,32,48,18,8,6,,1,2,,,24,6,,,5,,13,17,,,,13,3,1,3,5,28,34,,1,4,,5,298
