113學年度第一學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,永續企業管理(原綠色企業管理),創意與創業,統計,氣候與環境變遷,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,量子技術,智慧製造,影響力衡量與管理,生科職涯,菁英領導 elite,法律與政治,法律,系(所)總合
中國文學系,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3
英美語文學系,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6
法國語文學系,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,1,,,2,10
數學系,,,1,,,,,,,,,,,,,2,,,,,,,1,,,,3,,,1,,,,,,,,,,,8
物理學系,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
光電科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,6,,,,,,,9
統計研究所碩士班,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
機械工程學系,,1,,1,,,,,,,1,,,,,,,,,1,,,,,1,,20,,,,,,,,,,,,1,,26
工學院學士班,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,1,,,,,,12
企業管理學系,,2,1,4,,,,,,,,2,,,1,,,,,,,,,,,,,4,,,1,,,,,,,,,,15
資訊管理學系,,1,,1,,,,,,,,1,,,,,,1,,,,,1,,,,,27,,,1,,,,,,,,3,,36
財務金融學系,,,6,1,,,,,,,,1,,,,,,1,,,,,,,,,,2,,,3,,,,,,1,,,,15
經濟學系,,2,9,1,,,,,,,,3,1,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,19
企業管理學系碩士班,,,,25,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,37
資訊管理學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
財務金融學系碩士班,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
會計研究所碩士班,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
工業管理研究所碩士在職專班,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
電機工程學系,,,,,,,,,,,,,,,,,,,,,,,1,,,,7,,,1,,,,,,,,,,,9
資訊工程學系,,2,,,,,,,,,1,,,,,,,,,,,,1,,,,9,,,,,,,,,,,,,1,14
通訊工程學系,,,,,,,,,,,,,,,3,,,1,,,,,1,,,,4,,,,,,,,,,,,,,9
資訊電機學院學士班,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,20
大氣科學學系,,,,,7,4,,1,,,1,,,,1,,11,,,,,,,1,,,7,,,,,,,,,,,,,,33
地球科學學系,,,,,12,1,,1,,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,,,1,,21
地球科學學院學士班,,1,,,4,2,,3,,,,,,,,,2,,,,,3,,,1,,1,,,,1,,,,,,,,1,,19
太空科學與工程學系,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,9
客家語文暨社會科學學系,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,2,,,,,,,,,,,,2,6
生命科學系,,,,,,,,,,,1,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,15
生醫科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,2
總合,1,15,17,63,23,7,,9,9,,4,7,3,,26,2,14,15,,1,,14,6,1,7,1,74,41,2,2,8,,,6,1,,3,,6,5,393
