114學年度第一學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,天文,財務工程,英文MBA,電子商務(EC),華語文教學,永續企業管理(原綠色企業管理),創意與創業,統計,氣候與環境變遷,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),金融科技,跨領域榮譽,社會企業與社會創新,量子技術,智慧製造,影響力衡量與管理,生科職涯,菁英領導 elite,法律與政治,法律,人工智慧探索應用,人工智慧工業應用,人工智慧自然語言技術,人工智慧視覺技術,半導體國際,前瞻半導體,系(所)總合
中國文學系,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3
英美語文學系,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,4
法國語文學系,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,4
文學院學士班,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
數學系,,3,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,1,,,,,7
物理學系,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
化學學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,3
光電科學與工程學系,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,7,11
理學院學士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,4
化學學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
統計研究所碩士班,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
土木工程學系,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,5
機械工程學系,,,,,,,,,,,,,,,,,,,,,,,,17,,,,1,,,,,,,,,,,,,14,32
工學院學士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
機械工程學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
化學工程與材料工程學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
企業管理學系,,3,1,8,,,,,,1,,,2,1,,1,,,,,,,,,3,2,,,,,,,,,,,,,,,,22
資訊管理學系,,1,2,2,,,,,,1,,,3,,,5,,,,,,,,,15,1,,,,,,,,,,,,,,,,30
財務金融學系,,,3,1,,,,,,,,,1,,,2,,,,,,,,,7,10,,,,,,1,,1,,,,,,,,26
經濟學系,,2,3,2,,,,,,2,,,,,,1,1,,,,,,,,2,5,,,,,,2,,,,,,,,,,20
企業管理學系碩士班,,,,7,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,12
財務金融學系碩士班,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2
會計研究所碩士班,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
國際經營管理碩士學位學程,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3
電機工程學系,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,3
資訊工程學系,,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,9
通訊工程學系,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,4
資訊電機學院學士班,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23
電機工程學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
資訊工程學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2
資訊工程學系碩士在職專班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
大氣科學學系,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6
地球科學學系,,,,,11,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,15
地球科學學院學士班,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,3
太空科學與工程學系,,,,,1,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4
客家語文暨社會科學學系,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2,,,,,,,,4
生命科學系,,,,,,,,,,,,,,,,,1,,,,,,,10,,,,,,,,,,,,,,,,,,11
生醫科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,3
總合,,11,10,36,14,,4,2,,4,2,,30,1,7,17,2,,1,,,4,1,44,29,20,,1,2,,,7,1,4,2,,1,2,1,,57,317
