095學年度第二學期「專業學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,企業管理,財務金融,會計,資訊管理,半導體,材料,環境與工業安全,機械設計,工程管理,橋樑工程,水土保持,生物資訊,企業資源規劃,光電,工程防災,軟體工程,積體電路設計,地球科學資訊,環境地球科學,藝術史,文化研究,環境生物化學,天文,都市環境,財務工程,英文MBA,防災科技,奈米科技,創意,通訊工程,無線電工程,應用倫理學,電子商務(EC),腦科學與數位學習科技,綠色科技,嵌入式系統,華語文教學,系(所)總合
中國文學系,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
英美語文學系,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2
法國語文學系,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,7
英美語文學系碩士班,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
數學系,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,3
物理學系,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,2
生命科學系,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,2
生物資訊與系統生物研究所博士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
土木工程學系,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2
機械工程學系,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
資訊管理學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,44
經濟學系,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2
企業管理學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5
資訊管理學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2
工業管理研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
財務金融學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2
電機工程學系,1,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,6,,,,,,,14
資訊工程學系,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
資訊工程學系碩士班,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
大氣科學學系,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,8
地球科學學系,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,8
總合,4,2,,,,,,,1,,2,,,,,2,7,5,11,8,2,1,1,,,8,,2,5,,6,,47,,,,,114
98.11.14依文化研究跨校學程辦公室簽呈，並經教務長核准＜文化研究學程＞補登記申請。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
