110學年度第一學期「第二專長」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
              第二專長      所屬系所,中文,人文應用與文創實務,英美文學與文化研究,法語文化與跨文化,藝術史實務,數學科學,計算與資料科學,物理,化學,光學,材料與製造工程,能源科技,機械設計,光機電工程,化學工程與材料工程,土木工程,國際金融,國際經貿,智慧電子,資訊工程程式設計,人工智慧,通訊工程,公共行政與政策,法律,生物科技,生物多樣性,哲學思考,認知神經科學,應用地球科學,循環經濟,系(所)總合
中國文學系,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,2
英美語文學系,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,1,6
法國語文學系,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,5
文學院學士班,,1,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,5
數學系,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,2
理學院學士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
土木工程學系,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
機械工程學系,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,6
工學院學士班,,,,,,,,1,,,,,,,,,,,,3,,,,1,,,,,,,5
企業管理學系,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4
資訊管理學系,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,6
財務金融學系,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
經濟學系,,,1,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,4
電機工程學系,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,3
資訊工程學系,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
大氣科學學系,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,2,,5
地球科學學系,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
客家語文暨社會科學學系,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
總合,1,1,3,,3,,,1,,,,,1,,,,1,8,1,23,2,2,1,10,,,1,,2,1,62
