1082「輔系(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
"              輔系
 所屬系所",中文,英文,法文,數學,物理,化學,光電,理院學士班,土木,機械,化材,工院學士班,企管,資管,財金,經濟,電機,資工,通訊,資電學士班,大科,地科,地科學士班,客社,生科,生醫,系(所)總合
中國文學系,,4,1,,,,,,,,,,1,,,1,,,,,,,,,,1,8
英美語文學系,1,,2,,,,,,,,,,1,,6,12,,,,,,,,,1,,23
法國語文學系,,1,,,,,,,,,1,,,,3,7,,,,,,1,,,,,13
數學系,,,,,2,,,,,1,,,,,4,,,2,1,,,,,,,,10
物理學系,,,,2,1,1,,,,,,,,,,,2,,,,,,,,1,,7
化學學系,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
光電科學與工程學系,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
土木工程學系,,,,,,,,,,1,1,,,,1,,1,,,,,,,,,,4
機械工程學系,,,,1,,,,,,,,,,,,,5,2,,,1,,,,,2,11
化學工程與材料工程學系,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
工學院學士班,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
企業管理學系,,,1,,,,,,,2,1,,,5,22,2,,,,,,,,,,,33
資訊管理學系,,,1,,,,,,,,,,,,1,1,1,3,,,,,,,,,7
財務金融學系,,,,,,,,,,,,,,7,,,,1,,,,,,,1,,9
經濟學系,,1,,2,,,,,,,,,,4,10,,,,,,,,,,,,17
電機工程學系,,,,1,,,,,,2,,,,,1,,,2,,,,,,,,,6
資訊工程學系,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,3
通訊工程學系,,,,,,,,,,,,,,,,,3,4,,,,,,,1,,8
大氣科學學系,1,,,1,9,,,,,3,,,,1,,,6,,,,2,2,,,,,25
地球科學學系,,,,,,1,,,,,,,,1,1,1,,,,,3,,,,1,,8
客家語文暨社會科學學系,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,4
生命科學系,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,3
生醫科學與工程學系,,,,,,,,,,,7,,,,,,,1,,,,,,,2,,10
總合,3,6,6,7,12,2,,,,12,13,,2,19,49,24,19,15,2,,6,3,,,9,5,214
