101學年度第二學期「輔系」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
"              輔系
 所屬系所",中文,英文,法文,數學,物理,化學,生科,光電,理院學士班,土木,機械,化材,企管,資管,財金,經濟,電機,資工,通訊,大科,地科,系(所)總合
數學系,,,,,,,,,,,,,,,,,,5,,,,5
物理學系,,,,,,,,,,,,,,,,,1,1,,,,2
企業管理學系,,,1,,,,1,,,,,,,,,1,,,,,,3
資訊管理學系,,,,,,,,,,,,,,,2,,,,,1,,3
財務金融學系,,,,,,,,,,,,,,1,,,,,,,,1
通訊工程學系,,,,,,,,,,,,,,,,,,1,,,,1
大氣科學學系,,,,,,,,,,,,,,,,,,2,,,,2
地球科學學系,,,,,,,,,,,,,,,,,,1,,,,1
總合,,,1,,,,1,,,,,,,1,2,1,1,10,,1,,18
