1042「雙主修(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
             雙主修           主系,中文,英文,法文,數學,物理,化學,光電,理院學士班,土木,機械,化材,企管,資管,財金,經濟,電機,資工,通訊,大科,地科,客社,生科,生醫,系(所)總合
中國文學系,,4,2,,,,,,,,,,,,5,,,,,,,,,11
英美語文學系,,,3,,,,,,,,,,1,4,4,,,,,,,,,12
法國語文學系,,,,,,,,,,,,1,3,4,4,,,,,1,,,,13
數學系,,,,,,,,,,,1,,,2,,1,16,,1,,,,,21
物理學系,,,,,2,,,,,,,,,,2,1,,,,1,,,,6
土木工程學系,,,,,,,,,,,,,,,,1,,,,,,,,1
機械工程學系,,,,,,,,,,1,,,,,,1,1,,,,,,,3
化學工程與材料工程學系,,,,,,,,,,,1,,,,,,,,,,,,,1
企業管理學系,2,1,1,,,,,,,,,,,20,,,,,,,,,,24
資訊管理學系,,,,1,,,,,,,,,,10,,,9,,,,,,,20
財務金融學系,,,,,,,,,,,,,,,,,1,,,,,,,1
經濟學系,,,,,,1,,,,,,,3,6,,,,,,,,,1,11
電機工程學系,,,,,,,,,,,,,,1,,,2,,,,,,,3
資訊工程學系,,,,,,,,,,,,,1,,,2,,,,,,,,3
大氣科學學系,,,,,,,,,,,,,,,,,,1,3,1,,,,5
地球科學學系,,,,,,,,,,,,,,,,,,,2,,,,,2
客家語文暨社會科學學系,1,,,,,,,,,,,1,,,1,,,,,1,,,,4
生命科學系,,,,1,,,,,,,,,,,,2,,,,,,,,3
總合,3,5,6,2,2,1,,,,1,2,2,8,47,16,8,29,1,6,4,,,1,144
