982「雙主修(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
             雙主修           主系,中文,英文,法文,數學,物理,化學,生科,理院學士班,土木,機械,化材,企管,資管,財金,經濟,電機,資工,通訊,大科,地科,系(所)總合
中國文學系,,,3,,,,,,,,,,,3,2,,,,,,8
英美語文學系,,,3,,,,,,,,,,1,4,4,,,,,,12
法國語文學系,1,1,,,,,,,,,,,,5,1,,,,,,8
數學系,,,,,,,,,,,,,,1,,,3,,,,4
物理學系,,,,,1,,,,,,,,,,,1,,,,,2
生命科學系,,,1,,,2,,,,1,1,,,,,,,,,,5
光電科學與工程學系,,,,,,,,,,,,,,,1,,,,,,1
土木工程學系,,,,,,,,,,,,,,,1,,,,,,1
機械工程學系,,,,,,,,,,,,1,,,1,1,,,,,3
企業管理學系,1,,,,,,1,,,1,1,,,11,1,,,,,,16
資訊管理學系,,,,,,,,,,,,,,4,,,,,,,4
經濟學系,,,1,1,,,,,,,1,,,5,,,1,,,,9
電機工程學系,,,,,,,,,,,,,,,1,,,,,,1
資訊工程學系,,,,1,,,,,,,,,,,,,,1,,,2
大氣科學學系,,,,,1,,1,,,,,,,1,,,,,1,,4
地球科學學系,1,,,,,,,,,,,,,1,,,1,,,,3
總合,3,1,8,2,2,2,2,,,2,3,1,1,35,12,2,5,1,1,,83
