95學年度第一學期「雙主修」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
"          申請雙主修別
所屬系所",中文,英文,法文,數學,物理,化學,生科,物地,光電,大物,化工,土木,機械,化材,電機,企管,資管,財管,財金,經濟,電機,資工,通訊,大科,地科,系(所)總合
中國文學系,,3,,,,,,,,,,,,,,,,,2,,,,,,,5
法國語文學系,,,,,,,,,,,,,,,,,,,1,,,,,,,1
物理學系,,,,,,,,,,,,,,,,,,,,1,,,,,,1
生命科學系,,,,,,,,,,,,,,,,,,,,1,,,,,,1
企業管理學系,1,,1,,,,,,,,,,,1,,,1,,1,,,,,,,5
財務金融學系,2,,,1,,,,,,,,,,,,,1,,,,,,,,,4
經濟學系,,,1,,,,,,,,,,,,,,,,,,,,,,,1
資訊工程學系,,,,,,,,,,,,,,,,,,,1,,1,,,,,2
大氣科學學系,,,,,,,,,,,,,,,,,,,1,,,,,,,1
地球科學學系,,,,,,,,,,,,,,,,,,,,,,,1,,,1
總合,3,3,2,1,,,,,,,,,,1,,,2,,6,2,1,,1,,,22
