分類,問題,回答
總務處,本校常年法律顧問：朋博法律事務所,詳情請洽總務處林伊芳行政專員(分機57377)
總務處,校內場地租借管理單位,總務處大禮堂、大講堂、秉文堂、遊藝館國際會議廳、多媒體教室教務處教研大樓教室學務處校園KTV、課外組場地電算中心電腦教室台經中心會議室(廳)、研討室太遙中心視聽教室藝文中心107電影院、藝文展場、陶藝教室
文書組,使用公文系統常見錯誤態樣,使用公文系統常見錯誤態樣發文作業宣導歸檔作業宣導
文書組,機密檔案專用封套填寫說明,機密檔案專用封套填寫說明
文書組,學生郵件包裹領取須知(本須知適用至111.02.28，自111.03.01起詳見最新消息),一、同學如有郵件請告知寄件人寄至學校住址正確書寫方式：桃園市中壢區中大路300號，國立中央大學OO系所(OO宿舍OO寢室) OOO同學收 電話:OOOO(郵件請註明收件者手機電話，方便聯絡取件)。二、領取掛號郵件包裹之程序：(1)同學可於文書組網頁郵件招領系統詢有無您的掛號郵件(網址：http://140.115.3.194)，若有您的郵件，可攜帶有照片證件至文書組領取。(2)領取掛號郵件、包裹，請攜帶學生證(或貼有照片證件)，至行政大樓一樓文書組領取(分機：57354)；若需代領，請攜帶本人及代領人雙方之學生證件(或貼有照片證件)。三、學校無法幫忙代收貨款及寄送貨運郵件服務，請同學逕向郵局或貨運公司洽詢 。四、貨運會預先與同學聯絡送達交貨方式，請同學多加利用.五、領取掛號郵件包裹時間：(1)學校上班日上午(am)8:30～12:30；下午(pm)13:00～14:50。(當日上午送達郵件因郵務作業時間，故下午13:30後開放領件。)(2)週休二日及國定假日不開放領取郵件及貨運收件。六、郵件退件時間：(1)掛號郵件：於郵務管理系統公告招領通知次日起15日內(含假日)未領取即辦理退件。(2)訴訟(行政)文書及雙掛號郵件：為顧及當事人權益，經公告通知2日(不含假日)無人領取，則退回送件單位。(3)單位不明之中、英文平信：中文平信於收件次日退回送件單位處理。英文平信於發文公告招領30日(含假日)無人領取即辦理退件(寒暑假期間，退件時間延後至開學辦理)。
文書組,學生掛號郵件包裹領取程序表(本表適用至111.02.28，自111.03.01起詳見最新消息),國立中央大學 學生掛號郵件及包裹取貨程序表
文書組,貨物包裹快速送達收件人指定地點須知(本須知適用至111.02.28，自111.03.01起詳見最新消息),貨物包裹快速送達收件人指定地點須知：一、 為因應家長意見反應、學生及同仁便利性，凡貨運快遞包裹，請寄件者詳細註明收件者之電話手機號碼、系所單位，以利送貨員連絡收件者，順利送到收件者希望送達指定地點。二、 文書組已請送貨公司轉知送貨員送貨前先與收件者連絡希望貨物包裹送達位置，若遲遲未接到電話連絡，請收件者主動與送貨公司連繫。三、急件或大型郵件，請多利用貨運公司寄送，並要求貨運公司按照寄件人指定時間送達指定地點，以減少同學自行搬運路程的危險。
文書組,「案件未辦結，另案歸檔」相關說明,「案件未辦結，另案歸檔」相關說明
文書組,機密檔案機密等級註銷或變更流程說明,附件一：機密檔案解降密流程說明附件二：機密等級變更或註銷建議及通知單範本說明附加檔案：機密檔案機密等級註銷或變更流程說明
文書組,『二代公文暨檔案管理系統』常見問答,『二代公文暨檔案管理系統』常見問答
