日期,標題,連結
2025-10-08-總務處,2025中大動物生態導覽(中英文版),https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/40c344bc-8595-44f3-ad49-4bc5f959a04c
2025-09-30-總務處,公開「國立中央大學附屬中壢高級中學多目標大樓興建營運移轉(BOT)案」預評估檢核表,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/0d7b45eb-15bc-4e36-878e-84d63561163a
2025-09-11-總務處,中大舊圖旁的老榕樹（國泰樹）褐根病防治影片,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/74cbd72b-a706-40da-8424-ab37145d38a0
2025-06-05-總務處,2025中大動物生態導覽,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/2a5d668d-cb95-40b0-b08a-065bfa18d326
2025-11-07-事務組,【中大短程接駁車】預約114年11月14日乘車公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/562ac146-dcd5-4f88-a376-46281b9ec4a3
2025-11-01-事務組,【中大短程接駁車】預約114年11月07日乘車公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/fe327a7e-c2a4-427b-b0cd-e58ce2a2d9c6
2025-10-31-事務組,"【公車/客運/中研院學術專車改道】114年11月5日(三)運動會 公車/客運/中研院學術專車 改道公告Bus routes diversion on 5, NOV, 2025",https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/f771750b-0284-4d79-8b19-b6155196fb7e
2025-10-30-事務組,【公車公告】133及133A班次時間異動,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/8be0de22-b31e-4404-ba40-d3a315e65501
2025-10-29-事務組,【智慧型回收機故障公告】志道樓回收機故障排除中，暫停使用,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/1dcad1f1-fdee-4ce7-87e3-11093e35b9b6
2025-10-27-事務組,【公告】114/10/28松樹、台灣肖楠白蟻防治作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/4ce8f68c-4d62-4853-8e94-f719295b8d81
2025-10-24-事務組,【中大短程接駁車】預約114年10月31日乘車公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/9c82df7d-a77b-4cc6-ae05-9b14128babf3
2025-10-22-營繕組,"【施工停電公告】1141025,1026機械館、機電實驗室、實習三廠 施工停電公告(1022更新)",https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/36b0b046-809a-46a2-a68e-a849a3073f45
2025-10-20-事務組,【緊急處理樹木公告】男五舍(南區傳達室)旁道路暫時封閉,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/3d5af804-cdaa-4e87-a109-0f87af8f26d9
2025-10-17-事務組,【施工公告】中大北村路口號誌桿及控制箱等設備遷移設置工程,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/56b3d53d-c9dd-4699-b89e-7c531e0900f3
2025-10-16-營繕組,【施工公告】114年10月22日至115年4月19日(預定期程) 田徑場整修工程 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/caf3b365-8d5b-4fcd-89e8-72666375ff2f
2025-10-14-營繕組,【施工公告】114年10月16日(四)至114年10月17日(五)(預估期程) 百花川木棧道木作平台廊道損壞修繕 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/cb1ec040-4010-44b9-b226-716b00026203
2025-10-14-事務組,【交通訊息轉知】114年光復連續假期新聞稿與海報,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/f1afb0c8-cea8-4c21-a37f-4747fef02c7f
2025-10-13-事務組,【台電施工訊息轉知】台電為配合用戶申請用電需求，預定於114年10月21日於平鎮區中央路185號前(本校後門口)進行施工及設置交維設施並引導,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/2e5aea83-7300-4da0-906f-9f5044efc90b
2025-10-10-事務組,【中大短程接駁車】預約114年10月17、23日乘車公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/e782b11f-7b84-41dc-a870-ead16d15e826
2025-10-09-事務組,2025中大動物生態導覽(中英文版),https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/dea95ef0-34c5-4a6d-9c26-1eccf3a5e33e
