日期,分類,標題,連結
2025.11.03,註冊組,長庚大學交換生申請延長至12/12(五)截止,https://pdc.adm.ncu.edu.tw/postM/post/reg/1141103_1.pdf
2025.10.28,註冊組,114 學年度第 1 學期頒發學位證書(畢業離校)相關注意事項,https://pdc.adm.ncu.edu.tw/postM/post/reg/1140827_1.pdf
2025.10.22,註冊組,114學年度第一學期起實施研究生學位考試新規定及表格,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5145
2025.10.22,教務處,中央大學雙課程榮獲2025開放教育卓越獎 《詩三百》與《太空環境與探測》展現數位教學典範,https://ncuxms.ncu.edu.tw/p/2025award
2025.10.13,課務組,【課程停修申請】114(一)10月13日(一)至11月21日(五)止，相關說明請點選此公告,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5156
2025.10.09,課務組,查看個人學期功課表，請至 中央大學入口網站PORTAL→學生服務→教務相關服務→選課系統→個人功能表→選課結果/A4版課表 查詢。,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5155
2025.10.02,教學發展中心,114-1學期期中預警登錄提醒，敬請各單位及教師配合辦理,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5153
2025.09.24,教學發展中心,1141中大校園X智財工作坊X專題演講~開始報名啦~,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5152
2025.09.12,註冊組,09/15(一)早上十一點開放開放申請甄試排名證明書說明,https://pdc.adm.ncu.edu.tw/postM/post/reg/1140708_3.pdf
2025.09.04,註冊組,114-1-在學+名次+甄試說明,https://pdc.adm.ncu.edu.tw/postM/post/reg/1140708_1.pdf
