      學年度      大學辦理學分抵免學生名冊（以遠距教學方式取得之推廣教育學分申請學分抵免且超過畢業總學分數1/3者）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
編號,學生姓名,學號,"身分證
字號","入學年度
(含學期)","就讀班別名稱 
(請填寫完整名稱含學制)",入學管道,是否提高編級,目前就讀年級,學分抵免情形,,,,,,遠距方式取得推廣教育學分辦理抵免之情形(C欄之抵免情形),,,,,
,,,,,,,,,"辦理學分抵免學年度
(含學期)",畢業應修總學分數(A),抵免學分總數(B),遠距方式取得推廣教育學分辦理抵免之學分數(C),抵免後畢業應修學分數(D=A-B),抵免後修業年限,遠距方式取得推廣教育學分之課程名稱,遠距方式取得推廣教育學分之學分數,遠距方式取得推廣教育學分之開課學校,申請抵免之課程名稱,抵免之學分數,是否符合學校抵免相關規定
,,,,,,,,,,,,,,,,,,,,
1,範例,,,108-1,日間學制學士班○○系,如繁星推薦、個人申請、考試分發、單獨招生或其他：請敘明。,是,3,108-1,128,48,40,80,2,1-1.多元英文,2,○○大學,應用英文,2,是
,,,,,,,,,,,,,,,1-2.,,,,,
,,,,,,,,,,,,,,,1-3.,,,,,
,,,,,,,,,,,,,,,請自行增列,,,,,
2,,,,,,,,,,,,,,,,,,,,
"※備註：
一、「欄位C」佔「欄位A」之比率超過1/3者，需填具本名冊報教育部備查（依專科以上學校遠距教學實施辦法第7條第4項規定辦理）。
二、每學年度名冊（含第1、第2學期）之報部期程自3月1日起至3月31日截止，請依前開期程辦理，無則免報。",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
填表人姓名：,,,,,,,,,,,,,,,,,,,,
填表人聯絡電話及email：,,,,,,,,,,,,,,,,,,,,
填表日期：,,,,,,,,,,,,,,,,,,,,
單位主管(簽章)：,,,,,,,,,,,,,,,,,,,,
校長(簽章)：,,,,,,,,,,,,,,,,,,,,
