表4-1  科系別學生人數統計(依據101/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,BCODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
101,0008,國立中央大學,,,TOTAL,全校班級,12262,8442,3820,2475,1170,2440,1101,1572,725,1284,652,155,46,159,27,98,25,259,74
101,0008,國立中央大學,,,SUBT1,學士班           共計,6168,4145,2023,998,504,1036,461,995,498,930,509,0,0,0,0,0,0,186,51
101,0008,國立中央大學,D,B,220201,    中國文學系,233,43,190,12,44,12,41,10,46,4,51,0,0,0,0,0,0,5,8
101,0008,國立中央大學,D,B,220310,    英美語文學系,234,48,186,16,42,14,47,6,44,8,46,0,0,0,0,0,0,4,7
101,0008,國立中央大學,D,B,220314,    法國語文學系,220,42,178,4,48,13,41,15,36,7,47,0,0,0,0,0,0,3,6
101,0008,國立中央大學,D,B,460101,    數學系,297,236,61,63,15,55,17,52,11,40,15,0,0,0,0,0,0,26,3
101,0008,國立中央大學,D,B,440301,    物理學系,226,207,19,53,4,48,4,56,5,40,6,0,0,0,0,0,0,10,0
101,0008,國立中央大學,D,B,440101,    化學學系,183,130,53,36,8,31,15,31,12,26,17,0,0,0,0,0,0,6,1
101,0008,國立中央大學,D,B,420103,    生命科學系,167,97,70,23,20,26,13,21,18,21,17,0,0,0,0,0,0,6,2
101,0008,國立中央大學,D,B,520106,    光電科學與工程學系,170,138,32,30,10,31,7,32,5,40,8,0,0,0,0,0,0,5,2
101,0008,國立中央大學,D,B,449999,    理學院學士班,85,74,11,18,5,24,1,17,2,14,3,0,0,0,0,0,0,1,0
101,0008,國立中央大學,D,B,520301,    土木工程學系,452,384,68,101,11,92,17,81,18,86,21,0,0,0,0,0,0,24,1
101,0008,國立中央大學,D,B,520201,    機械工程學系,645,599,46,143,10,146,13,158,10,127,11,0,0,0,0,0,0,25,2
101,0008,國立中央大學,D,B,520403,    化學工程與材料工程學系,232,161,71,39,15,41,20,42,17,36,18,0,0,0,0,0,0,3,1
101,0008,國立中央大學,D,B,340301,    企業管理學系,449,189,260,41,69,56,52,42,69,44,66,0,0,0,0,0,0,6,4
101,0008,國立中央大學,D,B,480109,    資訊管理學系,421,244,177,55,47,61,43,68,38,54,48,0,0,0,0,0,0,6,1
101,0008,國立中央大學,D,B,340501,    財務金融學系,255,102,153,24,35,23,36,23,41,29,39,0,0,0,0,0,0,3,2
101,0008,國立中央大學,D,B,310101,    經濟學系,265,129,136,29,33,32,33,29,36,35,30,0,0,0,0,0,0,4,4
101,0008,國立中央大學,D,B,520101,    電機工程學系,441,391,50,86,13,99,9,97,11,97,16,0,0,0,0,0,0,12,1
101,0008,國立中央大學,D,B,520114,    資訊工程學系,446,360,86,87,23,92,13,80,31,85,19,0,0,0,0,0,0,16,0
101,0008,國立中央大學,D,B,520126,    通訊工程學系,215,177,38,47,6,42,11,40,15,42,6,0,0,0,0,0,0,6,0
101,0008,國立中央大學,D,B,440401,    大氣科學學系,310,241,69,55,23,56,17,61,14,58,12,0,0,0,0,0,0,11,3
101,0008,國立中央大學,D,B,440201,    地球科學學系,222,153,69,36,23,42,11,34,19,37,13,0,0,0,0,0,0,4,3
101,0008,國立中央大學,,,SUBT2,碩士班           共計,3295,2233,1062,977,427,929,428,252,131,73,74,0,0,0,0,0,0,2,2
101,0008,國立中央大學,D,M,449904,    遙測科技碩士學位學程,22,16,6,9,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0
