 年齡別別學生人數統計1071(依據107/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
學年度,學校代碼,學校名稱,日夜別,等級別,年級別,學生數總計,,,15歲以下,,16歲,,17歲,,18歲,,19歲,,20歲,,21歲,,22歲,,23歲,,24歲,,25歲,,26歲,,27歲,,28歲,,29歲,,30-34歲,,35-39歲,,40-44歲,,45-49歲,,50-59歲,,60歲以上,
,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,
YEAR,SCODE,SNAME,DNS,LEVEL,GRADE,T,M,F,M15,F15,M16,F16,M17,F17,M18,F18,M19,F19,M20,F20,M21,F21,M22,F22,M23,F23,M24,F24,M25,F25,M26,F26,M27,F27,M28,F28,M29,F29,M30,F30,M35,F35,M40,F40,M45,F45,M50,F50,M60,F60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,8,國立中央大學,,,TOTAL,11960,7867,4093,0,0,0,0,4,7,780,470,906,529,870,499,906,526,860,403,901,427,527,236,288,126,170,81,112,76,121,61,104,65,462,165,296,153,234,94,161,84,136,77,29,14
107,8,國立中央大學,D,B,1,1489,931,558,0,0,0,0,4,7,773,464,119,76,16,9,8,1,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
107,8,國立中央大學,D,B,2,1491,956,535,0,0,0,0,0,0,7,6,780,451,134,67,22,8,9,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
107,8,國立中央大學,D,B,3,1441,917,524,0,0,0,0,0,0,0,0,7,2,712,416,155,96,24,7,10,3,4,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,B,4,1419,907,512,0,0,0,0,0,0,0,0,0,0,6,5,714,416,145,76,31,10,6,1,1,3,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
107,8,國立中央大學,D,B,5,189,137,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,37,29,11,8,3,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,B,6,26,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,6,0,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,B,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,B,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,1,1498,1019,479,0,0,0,0,0,0,0,0,0,0,1,1,4,5,574,277,252,98,95,52,45,16,19,8,4,4,5,2,6,4,12,6,1,3,0,1,0,1,1,1,0,0
107,8,國立中央大學,D,M,2,1393,922,471,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,3,552,292,199,92,79,30,31,23,16,7,11,5,7,3,13,6,0,3,3,4,1,0,3,1,0,1
107,8,國立中央大學,D,M,3,459,320,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,182,74,81,31,26,9,8,6,9,1,3,2,5,2,1,4,1,1,0,3,1,0,0,1
107,8,國立中央大學,D,M,4,159,88,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,19,20,16,10,12,7,10,6,3,5,3,2,4,4,0,1,1,0,3,1,0
107,8,國立中央大學,D,M,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,V,M,1,513,356,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,5,3,13,4,18,8,18,8,22,11,78,26,58,34,60,19,49,21,27,17,4,2
107,8,國立中央大學,V,M,2,478,274,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,4,8,15,12,15,13,15,72,37,56,39,42,30,40,26,21,18,4,2
107,8,國立中央大學,V,M,3,185,130,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,3,5,2,41,13,35,12,17,9,12,6,10,6,5,2
107,8,國立中央大學,V,M,4,94,66,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,20,3,23,9,11,2,4,3,3,7,3,2
107,8,國立中央大學,V,M,5,78,57,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,22,6,9,4,6,3,6,2,1,0
107,8,國立中央大學,D,D,1,209,154,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,4,10,4,15,10,13,3,10,5,11,1,7,4,28,12,19,3,10,3,8,3,9,2,1,0
107,8,國立中央大學,D,D,2,183,126,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,6,10,6,8,12,8,5,12,3,8,3,29,5,11,6,13,4,7,4,8,1,1,1
107,8,國立中央大學,D,D,3,187,129,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2,21,1,13,10,14,9,9,3,28,12,5,10,10,4,9,5,6,2,2,0
107,8,國立中央大學,D,D,4,140,100,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,9,2,4,3,6,6,29,12,10,4,19,4,7,3,12,4,1,1
107,8,國立中央大學,D,D,5,119,88,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,11,1,4,4,26,8,12,3,11,5,4,3,11,6,3,1
107,8,國立中央大學,D,D,6,95,76,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,5,3,21,5,15,6,12,1,6,0,11,4,1,0
107,8,國立中央大學,D,D,7,112,89,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9,24,7,11,1,6,2,7,3,2,1
107,8,國立中央大學,D,D,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,8,國立中央大學,D,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8,國立中央大學,D,M,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
