1112(依據112/03/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
111,8,國立中央大學,,,TOTAL,全校班級,11831,7571,4260,2412,1384,2412,1285,1298,782,1072,632,217,104,95,42,60,27,5,4,165,84
111,8,國立中央大學,D,1,SUBT1,學士班           共計,6003,3729,2274,953,573,964,558,880,588,833,497,78,54,21,4,0,0,0,0,99,58
111,8,國立中央大學,D,D,1146,    中國文學系,189,54,135,14,33,13,31,9,33,11,37,5,1,2,0,0,0,0,0,7,1
111,8,國立中央大學,D,D,1150,    英美語文學系,191,54,137,10,31,14,35,14,33,13,36,3,2,0,0,0,0,0,0,3,2
111,8,國立中央大學,D,D,1152,    法國語文學系,208,40,168,7,35,11,34,13,38,6,45,3,14,0,2,0,0,0,0,3,16
111,8,國立中央大學,D,D,15182,    文學院學士班,60,11,49,3,17,4,16,4,16,0,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,D,1162,    數學系,300,219,81,57,16,55,20,48,28,49,12,7,5,3,0,0,0,0,0,10,5
111,8,國立中央大學,D,D,1165,    物理學系,185,143,42,41,13,36,10,31,11,33,6,1,2,1,0,0,0,0,0,2,2
111,8,國立中央大學,D,D,1168,    化學學系,153,73,80,20,18,19,22,13,23,17,16,4,1,0,0,0,0,0,0,4,1
111,8,國立中央大學,D,D,5470,    光電科學與工程學系,183,130,53,34,12,32,17,34,11,29,11,0,2,1,0,0,0,0,0,1,2
111,8,國立中央大學,D,D,7077,    理學院學士班,68,47,21,14,4,10,7,12,6,9,4,1,0,1,0,0,0,0,0,2,0
111,8,國立中央大學,D,D,1186,    土木工程學系,345,266,79,67,25,67,17,73,17,54,18,4,2,1,0,0,0,0,0,5,2
111,8,國立中央大學,D,D,1190,    機械工程學系,515,448,67,119,18,110,20,107,18,98,9,12,2,2,0,0,0,0,0,14,2
111,8,國立中央大學,D,D,1183,    化學工程與材料工程學系,202,141,61,36,16,45,14,30,15,29,16,1,0,0,0,0,0,0,0,1,0
111,8,國立中央大學,D,D,14515,    工學院學士班,98,71,27,19,11,19,2,13,11,19,2,1,1,0,0,0,0,0,0,1,1
111,8,國立中央大學,D,D,1205,    企業管理學系,387,178,209,47,62,40,52,43,46,45,45,3,3,0,1,0,0,0,0,3,4
111,8,國立中央大學,D,D,1209,    資訊管理學系,421,265,156,70,34,65,44,62,34,60,39,5,4,3,1,0,0,0,0,8,5
111,8,國立中央大學,D,D,1216,    財務金融學系,257,118,139,26,31,29,37,30,36,30,30,2,5,1,0,0,0,0,0,3,5
111,8,國立中央大學,D,D,1213,    經濟學系,232,118,114,29,29,24,32,30,29,32,22,3,2,0,0,0,0,0,0,3,2
111,8,國立中央大學,D,D,1229,    電機工程學系,440,359,81,89,13,96,20,82,25,88,22,3,1,1,0,0,0,0,0,4,1
111,8,國立中央大學,D,D,1233,    資訊工程學系,408,307,101,79,18,88,18,68,36,65,29,5,0,2,0,0,0,0,0,7,0
111,8,國立中央大學,D,D,1237,    通訊工程學系,196,141,55,29,13,34,17,36,14,35,10,7,1,0,0,0,0,0,0,7,1
111,8,國立中央大學,D,D,14516,    資訊電機學院學士班,89,70,19,17,4,23,3,16,6,14,6,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,D,1243,    大氣科學學系,157,92,65,10,19,19,10,20,15,37,18,4,3,2,0,0,0,0,0,6,3
111,8,國立中央大學,D,D,1246,    地球科學學系,173,106,67,34,18,33,12,19,23,18,14,2,0,0,0,0,0,0,0,2,0
111,8,國立中央大學,D,D,14765,    地球科學學院學士班,60,36,24,9,7,10,4,10,5,7,8,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,D,15188,    太空科學與工程學系,95,71,24,21,10,27,7,23,7,0,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,D,9250,    客家語文暨社會科學學系,143,41,102,9,32,10,26,13,24,8,17,0,3,1,0,0,0,0,0,1,3
111,8,國立中央大學,D,D,1177,    生命科學系,146,77,69,22,20,18,21,15,16,20,12,2,0,0,0,0,0,0,0,2,0
111,8,國立中央大學,D,D,10236,    生醫科學與工程學系,102,53,49,21,14,13,10,12,12,7,13,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,2,SUBT2,碩士班           共計,3472,2307,1165,1021,526,1021,468,186,102,74,64,5,5,0,0,0,0,0,0,5,5
111,8,國立中央大學,D,M,7073,    遙測科技碩士學位學程,23,14,9,7,3,5,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1148,    中國文學系碩士班,64,28,36,5,14,5,6,10,5,7,11,1,0,0,0,0,0,0,0,1,0
111,8,國立中央大學,D,M,1151,    英美語文學系碩士班,40,11,29,2,6,5,8,3,6,1,9,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1153,    法國語文學系碩士班,13,3,10,1,2,2,4,0,2,0,1,0,1,0,0,0,0,0,0,0,1
111,8,國立中央大學,D,M,1155,    哲學研究所碩士班,16,10,6,3,2,3,0,1,2,3,1,0,1,0,0,0,0,0,0,0,1
111,8,國立中央大學,D,M,1157,    歷史研究所碩士班,32,22,10,6,3,6,5,7,2,3,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1159,    藝術學研究所碩士班,26,3,23,0,6,2,9,1,5,0,3,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1160,    學習與教學研究所碩士班,33,6,27,1,11,3,5,2,4,0,6,0,1,0,0,0,0,0,0,0,1
111,8,國立中央大學,D,M,9253,    亞際文化研究國際碩士學位學程(台灣聯合大學系統),16,2,14,0,2,0,3,1,3,1,5,0,1,0,0,0,0,0,0,0,1
111,8,國立中央大學,D,M,1164,    數學系碩士班,56,44,12,16,4,17,4,8,3,2,1,1,0,0,0,0,0,0,0,1,0
111,8,國立中央大學,D,M,1167,    物理學系碩士班,84,72,12,31,7,25,4,10,1,5,0,1,0,0,0,0,0,0,0,1,0
111,8,國立中央大學,D,M,1170,    化學學系碩士班,152,85,67,35,36,46,31,2,0,2,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1176,    統計研究所碩士班,53,33,20,17,11,16,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1174,    光電科學與工程學系碩士班,167,137,30,63,15,62,10,9,3,3,2,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1172,    天文研究所碩士班,16,6,10,1,3,3,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,9935,    光電科學與工程學系照明與顯示科技碩士班,11,10,1,4,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1188,    土木工程學系碩士班,179,130,49,65,24,54,20,6,3,5,1,0,1,0,0,0,0,0,0,0,1
111,8,國立中央大學,D,M,1192,    機械工程學系碩士班,263,236,27,119,12,100,13,16,1,1,1,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1185,    化學工程與材料工程學系碩士班,158,101,57,56,28,42,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1195,    環境工程研究所碩士班,62,37,25,10,12,17,9,8,2,2,2,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,9932,    機械工程學系光機電工程碩士班,52,45,7,15,3,24,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1203,    能源工程研究所碩士班,37,31,6,15,4,13,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1200,    材料科學與工程研究所碩士班,50,35,15,18,8,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,14902,    土木工程學系營建管理碩士班,20,10,10,7,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1207,    企業管理學系碩士班,123,52,71,20,37,27,31,2,3,3,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1211,    資訊管理學系碩士班,141,84,57,38,30,43,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1221,    產業經濟研究所碩士班,59,29,30,13,12,13,9,1,8,2,1,0,0,0,0,0,0,0,0,0,0
111,8,國立中央大學,D,M,1227,    工業管理研究所碩士班,55,31,24,16,10,13,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
