表4-3  年齡別別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
學年度,學校代碼,學校名稱,日夜別,等級別,年級別,學生數總計,,,15歲以下,,16歲,,17歲,,18歲,,19歲,,20歲,,21歲,,22歲,,23歲,,24歲,,25歲,,26歲,,27歲,,28歲,,29歲,,30-34歲,,35-39歲,,40-44歲,,45-49歲,,50-59歲,,60歲以上,
,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,
YEAR,SCODE,SNAME,DNS,LEVEL,GRADE,T,M,F,M15,F15,M16,F16,M17,F17,M18,F18,M19,F19,M20,F20,M21,F21,M22,F22,M23,F23,M24,F24,M25,F25,M26,F26,M27,F27,M28,F28,M29,F29,M30,F30,M35,F35,M40,F40,M45,F45,M50,F50,M60,F60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,8,國立中央大學,,,TOTAL,12563,7930,4633,0,0,0,0,2,2,744,482,896,581,935,565,881,535,896,499,925,481,587,310,295,144,187,98,173,91,113,97,140,63,375,237,209,125,202,122,169,95,165,99,36,7
113,8,國立中央大學,D,B,1,1511,934,577,0,0,0,0,2,2,743,481,150,77,28,14,8,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,B,2,1531,920,611,0,0,0,0,0,0,1,1,744,503,137,81,22,15,4,10,7,0,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,B,3,1495,932,563,0,0,0,0,0,0,0,0,2,1,765,466,130,76,22,13,4,2,6,4,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,B,4,1509,950,559,0,0,0,0,0,0,0,0,0,0,5,4,716,439,182,84,27,25,10,6,4,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,B,5,207,125,82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82,54,31,22,8,4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,B,6,20,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,B,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,B,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1,1687,1104,583,0,0,0,0,0,0,0,0,0,0,0,0,4,2,601,336,277,134,110,44,38,23,19,11,10,6,9,8,6,3,13,8,5,3,3,1,4,2,4,1,1,1
113,8,國立中央大學,D,M,2,1470,963,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,557,289,239,132,73,35,32,18,28,6,12,10,8,4,7,7,2,0,1,4,0,0,1,1,0,0
113,8,國立中央大學,D,M,3,517,333,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180,102,84,40,32,15,12,7,8,4,4,5,9,6,0,1,2,1,0,2,1,0,0,1
113,8,國立中央大學,D,M,4,213,135,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,21,29,13,23,14,12,6,5,5,9,9,2,2,1,5,1,1,3,1,0,1
113,8,國立中央大學,D,M,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,V,M,1,552,330,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,3,12,9,16,15,25,17,9,22,19,16,66,41,45,29,47,21,41,21,36,28,5,0
113,8,國立中央大學,V,M,2,530,301,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,4,13,8,17,13,15,18,24,12,70,66,40,31,42,28,33,27,39,22,3,0
113,8,國立中央大學,V,M,3,199,126,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,5,8,8,19,1,36,24,18,6,17,9,9,8,8,8,3,2
113,8,國立中央大學,V,M,4,126,86,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,4,1,6,4,27,7,12,6,10,11,13,4,6,6,1,1
113,8,國立中央大學,V,M,5,77,57,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,3,10,5,12,3,15,4,5,3,2,1
113,8,國立中央大學,D,D,1,187,120,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,14,9,5,5,8,5,10,8,6,2,8,3,17,7,14,8,10,6,7,3,11,6,4,0
113,8,國立中央大學,D,D,2,152,105,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,2,10,5,7,3,3,4,5,4,22,7,9,7,10,6,5,4,15,2,3,0
113,8,國立中央大學,D,D,3,153,102,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,12,4,13,6,5,2,8,0,18,14,11,6,12,4,11,8,4,5,1,0
113,8,國立中央大學,D,D,4,146,99,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,10,4,16,9,8,5,17,7,5,5,17,9,10,2,7,5,3,0
113,8,國立中央大學,D,D,5,99,69,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,9,0,18,10,10,4,9,3,6,3,5,6,5,0
113,8,國立中央大學,D,D,6,68,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,13,10,9,6,4,3,7,1,8,0,3,0
113,8,國立中央大學,D,D,7,89,59,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,9,15,4,3,8,7,5,8,4,2,0
113,8,國立中央大學,D,D,8,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,3,1,0,0
113,8,國立中央大學,D,M,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
