表4－1  學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
學校名稱：0008 中央大學             ,,,,  中華民國        九十五        學年度,,,,,,,,,,,,,,,,
學年報：根據04月19日資料統計,,,,,,,,,,,,,,,,,,,單位：人,
院   系（科）所   別,,共                      計,,,一  年  級,,二  年  級,,三  年  級,,四  年  級,,五  年  級,,六  年  級,,七  年  級,,延  修  生,
,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
碩士班小計,,2710,1885,825,908,355,821,347,115,81,41,42,,,,,,,,
文學院,,276,86,190,22,52,24,58,22,46,18,34,,,,,,,,
    中國文學系碩士班,  ,52,11,41,3,10,5,13,2,11,1,7,,,,,,,,
    英美語文學系碩士班,  ,47,15,32,4,7,6,8,2,11,3,6,,,,,,,,
    法國語文學系碩士班,  ,17,3,14,1,3,,4,2,5,,2,,,,,,,,
    哲學研究所碩士班,  ,42,14,28,2,10,5,11,5,4,2,3,,,,,,,,
    歷史研究所碩士班,  ,48,33,15,10,3,6,6,8,2,9,4,,,,,,,,
    藝術學研究所碩士班,  ,41,5,36,,10,1,7,2,7,2,12,,,,,,,,
    學習與教學研究所碩士班,  ,29,5,24,2,9,1,9,1,6,1,,,,,,,,,
理學院,,518,371,147,176,75,157,59,31,10,7,3,,,,,,,,
    數學系碩士班,  ,67,50,17,17,9,19,7,12,1,2,,,,,,,,,
    物理學系碩士班,  ,74,58,16,20,7,28,6,6,2,4,1,,,,,,,,
    化學學系碩士班,  ,109,74,35,36,18,34,15,4,1,,1,,,,,,,,
    生命科學系碩士班,  ,45,23,22,11,12,10,9,2,1,,,,,,,,,,
    統計研究所碩士班,  ,45,27,18,15,10,9,7,2,1,1,,,,,,,,,
    光電科學研究所碩士班,  ,120,105,15,55,7,47,6,3,2,,,,,,,,,,
    認知與神經科學研究所碩士班,  ,13,5,8,4,3,1,5,,,,,,,,,,,,
    天文研究所碩士班,  ,25,16,9,7,3,7,3,2,2,,1,,,,,,,,
    生物物理研究所碩士班,  ,6,5,1,3,,2,1,,,,,,,,,,,,
    生物資訊與系統生物研究所碩士班,  ,14,8,6,8,6,,,,,,,,,,,,,,
工學院,,640,540,100,260,53,257,45,17,1,6,1,,,,,,,,
    化學工程學系碩士班,  ,0,0,0,,,,,,,,,,,,,,,,
    土木工程學系碩士班,  ,159,120,39,47,23,64,15,6,1,3,,,,,,,,,
    機械工程學系碩士班,  ,199,189,10,96,5,83,5,8,,2,,,,,,,,,
    化學工程與材料工程學系碩士班,  ,123,98,25,51,10,44,14,3,,,1,,,,,,,,
    營建管理研究所碩士班,  ,27,19,8,9,3,9,5,,,1,,,,,,,,,
    環境工程研究所碩士班,  ,41,29,12,15,9,14,3,,,,,,,,,,,,
    光機電工程研究所碩士班,  ,40,38,2,20,1,18,1,,,,,,,,,,,,
    能源工程研究所碩士班,  ,22,20,2,9,1,11,1,,,,,,,,,,,,
    材料科學與工程研究所碩士班,  ,29,27,2,13,1,14,1,,,,,,,,,,,,
    生物醫學工程研究所,  ,0,0,0,,,,,,,,,,,,,,,,
    資訊工程研究所碩士班（工學院專用）,  ,0,0,0,,,,,,,,,,,,,,,,
    電機工程學系碩士班,  ,0,0,0,,,,,,,,,,,,,,,,
管理學院,,483,262,221,129,100,114,112,15,6,4,3,,,,,,,,
    企業管理學系碩士班,  ,125,65,60,33,27,29,31,3,,,2,,,,,,,,
    資訊管理學系碩士班,  ,96,64,32,32,19,30,13,2,,,,,,,,,,,
    產業經濟研究所碩士班,  ,61,28,33,11,11,9,17,6,5,2,,,,,,,,,
    財務管理學系碩士班,  ,0,0,0,,,,,,,,,,,,,,,,
    工業管理研究所碩士班,  ,63,41,22,25,6,16,16,,,,,,,,,,,,
    人力資源管理研究所碩士班,  ,51,16,35,5,17,7,16,3,1,1,1,,,,,,,,
    財務金融學系碩士班,  ,57,31,26,16,12,13,14,1,,1,,,,,,,,,
    經濟學系碩士班,  ,30,17,13,7,8,10,5,,,,,,,,,,,,
資訊電機學院,,521,467,54,247,30,208,24,11,,1,,,,,,,,,
    電機工程學系碩士班,  ,228,211,17,110,10,95,7,6,,,,,,,,,,,
    資訊工程學系碩士班,  ,161,146,15,80,7,64,8,2,,,,,,,,,,,
    通訊工程學系碩士班,  ,93,80,13,42,7,36,6,2,,,,,,,,,,,
    網路學習科技研究所碩士班,  ,34,25,9,10,6,13,3,1,,1,,,,,,,,,
    軟體工程研究所碩士班,  ,5,5,0,5,,,,,,,,,,,,,,,
地球科學學院,,184,130,54,64,20,53,30,9,4,4,,,,,,,,,
    大氣物理研究所碩士班,  ,45,22,23,12,10,9,12,1,1,,,,,,,,,,
    地球物理研究所碩士班,  ,40,33,7,17,1,13,6,2,,1,,,,,,,,,
    太空科學研究所碩士班,  ,46,38,8,20,3,15,5,2,,1,,,,,,,,,
    應用地質研究所碩士班,  ,35,22,13,11,4,7,6,2,3,2,,,,,,,,,
    水文科學研究所碩士班,  ,18,15,3,4,2,9,1,2,,,,,,,,,,,
客家學院,,88,29,59,10,25,8,19,10,14,1,1,,,,,,,,
    客家社會文化研究所碩士班,  ,29,7,22,3,6,1,7,2,8,1,1,,,,,,,,
    客家語文研究所碩士班,  ,26,6,20,3,7,1,8,2,5,,,,,,,,,,
    客家政治經濟研究所碩士班,  ,27,13,14,1,9,6,4,6,1,,,,,,,,,,
    法律與政府研究所碩士班,  ,6,3,3,3,3,,,,,,,,,,,,,,
