表5-1  畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,畢業生計,,,本國籍學生,,僑 生,,外國籍學生,
,,,,,,,計,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,BCODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3
99,0008,國立中央大學,,,TOTAL,全校班級,3247,2145,1102,2098,1068,29,23,18,11
99,0008,國立中央大學,,,SUBT1,學士班           共計,1328,832,496,809,475,23,16,0,5
99,0008,國立中央大學,D,B,220201,中國文學系,55,7,48,5,44,2,1,0,3
99,0008,國立中央大學,D,B,220310,英美語文學系,48,8,40,7,38,1,1,0,1
99,0008,國立中央大學,D,B,220314,法國語文學系,42,7,35,6,34,1,1,0,0
99,0008,國立中央大學,D,B,460101,數學系,55,39,16,39,16,0,0,0,0
99,0008,國立中央大學,D,B,440301,物理學系,47,44,3,44,3,0,0,0,0
99,0008,國立中央大學,D,B,440101,化學學系,49,34,15,33,15,1,0,0,0
99,0008,國立中央大學,D,B,420103,生命科學系,40,21,19,20,17,1,2,0,0
99,0008,國立中央大學,D,B,520106,光電科學與工程學系,39,34,5,34,5,0,0,0,0
99,0008,國立中央大學,D,B,520301,土木工程學系,80,61,19,59,19,2,0,0,0
99,0008,國立中央大學,D,B,520201,機械工程學系,130,108,22,106,22,2,0,0,0
99,0008,國立中央大學,D,B,520403,化學工程與材料工程學系,49,39,10,38,10,1,0,0,0
99,0008,國立中央大學,D,B,340301,企業管理學系,118,45,73,44,66,1,6,0,1
99,0008,國立中央大學,D,B,480109,資訊管理學系,100,56,44,54,43,2,1,0,0
99,0008,國立中央大學,D,B,340501,財務金融學系,66,30,36,29,35,1,1,0,0
99,0008,國立中央大學,D,B,310101,經濟學系,50,18,32,17,31,1,1,0,0
99,0008,國立中央大學,D,B,520101,電機工程學系,103,90,13,87,13,3,0,0,0
99,0008,國立中央大學,D,B,520114,資訊工程學系,109,85,24,84,23,1,1,0,0
99,0008,國立中央大學,D,B,520126,通訊工程學系,54,45,9,43,9,2,0,0,0
99,0008,國立中央大學,D,B,440401,大氣科學學系,52,36,16,36,15,0,1,0,0
99,0008,國立中央大學,D,B,440201,地球科學學系,42,25,17,24,17,1,0,0,0
99,0008,國立中央大學,,,SUBT2,碩士班           共計,1281,854,427,843,414,5,7,6,6
99,0008,國立中央大學,D,M,449904,遙測科技碩士學位學程,8,7,1,6,1,0,0,1,0
99,0008,國立中央大學,D,M,220201,中國文學系碩士班,16,5,11,5,9,0,0,0,2
99,0008,國立中央大學,D,M,220310,英美語文學系碩士班,8,4,4,4,4,0,0,0,0
99,0008,國立中央大學,D,M,220314,法國語文學系碩士班,6,0,6,0,6,0,0,0,0
99,0008,國立中央大學,D,M,221101,哲學研究所碩士班,7,3,4,2,4,0,0,1,0
99,0008,國立中央大學,D,M,220901,歷史研究所碩士班,11,5,6,5,6,0,0,0,0
99,0008,國立中央大學,D,M,210701,藝術學研究所碩士班,10,1,9,1,9,0,0,0,0
99,0008,國立中央大學,D,M,140111,學習與教學研究所碩士班,10,1,9,1,9,0,0,0,0
99,0008,國立中央大學,D,M,460101,數學系碩士班,28,21,7,21,7,0,0,0,0
99,0008,國立中央大學,D,M,440301,物理學系碩士班,32,26,6,25,5,0,0,1,1
99,0008,國立中央大學,D,M,440101,化學學系碩士班,62,29,33,29,33,0,0,0,0
99,0008,國立中央大學,D,M,420103,生命科學系碩士班,14,4,10,4,9,0,1,0,0
99,0008,國立中央大學,D,M,460201,統計研究所碩士班,21,10,11,10,11,0,0,0,0
99,0008,國立中央大學,D,M,520106,光電科學與工程學系碩士班,76,67,9,66,9,0,0,1,0
99,0008,國立中央大學,D,M,310510,認知與神經科學研究所碩士班,5,1,4,1,4,0,0,0,0
99,0008,國立中央大學,D,M,440601,天文研究所碩士班,10,5,5,5,5,0,0,0,0
99,0008,國立中央大學,D,M,440304,物理學系生物物理碩士班,4,2,2,2,2,0,0,0,0
99,0008,國立中央大學,D,M,520165,光電科學與工程學系照明與顯示科技碩士班,7,5,2,5,2,0,0,0,0
99,0008,國立中央大學,D,M,420604,系統生物與生物資訊研究所碩士班,6,2,4,2,4,0,0,0,0
99,0008,國立中央大學,D,M,520301,土木工程學系碩士班,87,67,20,65,19,0,0,2,1
99,0008,國立中央大學,D,M,520201,機械工程學系碩士班,82,76,6,75,6,1,0,0,0
99,0008,國立中央大學,D,M,520403,化學工程與材料工程學系碩士班,55,42,13,40,13,2,0,0,0
99,0008,國立中央大學,D,M,349927,營建管理研究所碩士班,16,10,6,10,5,0,1,0,0
99,0008,國立中央大學,D,M,520901,環境工程研究所碩士班,26,13,13,13,13,0,0,0,0
99,0008,國立中央大學,D,M,520229,機械工程學系光機電工程碩士班,19,18,1,18,1,0,0,0,0
99,0008,國立中央大學,D,M,521309,能源工程研究所碩士班,16,14,2,14,2,0,0,0,0
99,0008,國立中央大學,D,M,520502,材料科學與工程研究所碩士班,17,13,4,13,4,0,0,0,0
99,0008,國立中央大學,D,M,521108,生物醫學工程研究所碩士班,7,6,1,6,1,0,0,0,0
99,0008,國立中央大學,D,M,340301,企業管理學系碩士班,62,27,35,27,33,0,2,0,0
99,0008,國立中央大學,D,M,480109,資訊管理學系碩士班,52,33,19,33,18,0,1,0,0
99,0008,國立中央大學,D,M,310104,產業經濟研究所碩士班,17,4,13,4,13,0,0,0,0
99,0008,國立中央大學,D,M,349906,工業管理研究所碩士班,27,17,10,17,10,0,0,0,0
99,0008,國立中央大學,D,M,349919,人力資源管理研究所碩士班,22,7,15,7,14,0,1,0,0
99,0008,國立中央大學,D,M,340501,財務金融學系碩士班,28,11,17,11,17,0,0,0,0
99,0008,國立中央大學,D,M,310101,經濟學系碩士班,14,4,10,4,10,0,0,0,0
99,0008,國立中央大學,D,M,340201,會計研究所碩士班,9,3,6,3,6,0,0,0,0
99,0008,國立中央大學,D,M,520101,電機工程學系碩士班,105,91,14,91,14,0,0,0,0
99,0008,國立中央大學,D,M,520114,資訊工程學系碩士班,98,83,15,82,14,1,0,0,1
99,0008,國立中央大學,D,M,520126,通訊工程學系碩士班,48,40,8,40,8,0,0,0,0
99,0008,國立中央大學,D,M,140805,網路學習科技研究所碩士班,18,7,11,7,10,0,1,0,0
99,0008,國立中央大學,D,M,480306,資訊工程學系軟體工程碩士班,6,3,3,3,3,0,0,0,0
99,0008,國立中央大學,D,M,440402,大氣物理研究所碩士班,17,11,6,10,6,1,0,0,0
99,0008,國立中央大學,D,M,440209,地球物理研究所碩士班,18,12,6,12,6,0,0,0,0
99,0008,國立中央大學,D,M,440603,太空科學研究所碩士班,19,16,3,16,3,0,0,0,0
99,0008,國立中央大學,D,M,440204,應用地質研究所碩士班,16,11,5,11,5,0,0,0,0
99,0008,國立中央大學,D,M,440207,水文與海洋科學研究所碩士班,10,6,4,6,4,0,0,0,0
99,0008,國立中央大學,D,M,310723,客家社會文化研究所碩士班,10,2,8,2,7,0,0,0,1
99,0008,國立中央大學,D,M,220103,客家語文研究所碩士班,2,1,1,1,1,0,0,0,0
99,0008,國立中央大學,D,M,310403,客家政治經濟研究所碩士班,13,6,7,6,7,0,0,0,0
99,0008,國立中央大學,D,M,380103,法律與政府研究所碩士班,4,2,2,2,2,0,0,0,0
99,0008,國立中央大學,,,SUBT3,碩士在職專班           共計,460,311,149,304,149,0,0,7,0
99,0008,國立中央大學,V,M,220201,中國文學系碩士在職專班,18,3,15,3,15,0,0,0,0
99,0008,國立中央大學,V,M,221101,哲學研究所碩士在職專班,4,3,1,3,1,0,0,0,0
99,0008,國立中央大學,V,M,220901,歷史研究所碩士在職專班,31,13,18,13,18,0,0,0,0
99,0008,國立中央大學,V,M,520106,光電科學與工程學系碩士在職專班,9,9,0,9,0,0,0,0,0
99,0008,國立中央大學,V,M,520301,土木工程學系碩士在職專班,37,34,3,34,3,0,0,0,0
99,0008,國立中央大學,V,M,520201,機械工程學系碩士在職專班,14,14,0,14,0,0,0,0,0
99,0008,國立中央大學,V,M,349927,營建管理研究所碩士在職專班,14,9,5,9,5,0,0,0,0
99,0008,國立中央大學,V,M,520901,環境工程研究所碩士在職專班,24,18,6,18,6,0,0,0,0
99,0008,國立中央大學,V,M,520911,國際永續發展碩士在職專班,7,7,0,0,0,0,0,7,0
99,0008,國立中央大學,V,M,349939,管理學院高階主管企管碩士班,60,49,11,49,11,0,0,0,0
99,0008,國立中央大學,V,M,340301,企業管理學系碩士在職專班,30,18,12,18,12,0,0,0,0
99,0008,國立中央大學,V,M,480109,資訊管理學系碩士在職專班,31,26,5,26,5,0,0,0,0
99,0008,國立中央大學,V,M,310104,產業經濟研究所碩士在職專班,14,6,8,6,8,0,0,0,0
99,0008,國立中央大學,V,M,349906,工業管理研究所碩士在職專班,20,13,7,13,7,0,0,0,0
99,0008,國立中央大學,V,M,349919,人力資源管理研究所碩士在職專班,31,8,23,8,23,0,0,0,0
99,0008,國立中央大學,V,M,340501,財務金融學系碩士在職專班,29,19,10,19,10,0,0,0,0
99,0008,國立中央大學,V,M,520101,電機工程學系碩士在職專班,30,29,1,29,1,0,0,0,0
99,0008,國立中央大學,V,M,520114,資訊工程學系碩士在職專班,16,14,2,14,2,0,0,0,0
99,0008,國立中央大學,V,M,520126,通訊工程學系碩士在職專班,9,8,1,8,1,0,0,0,0
99,0008,國立中央大學,V,M,310403,客家研究碩士在職專班,32,11,21,11,21,0,0,0,0
99,0008,國立中央大學,,,SUBT4,博士班           共計,177,147,30,141,30,1,0,5,0
99,0008,國立中央大學,D,D,220201,中國文學系博士班,5,4,1,4,1,0,0,0,0
99,0008,國立中央大學,D,D,221101,哲學研究所博士班,5,2,3,2,3,0,0,0,0
99,0008,國立中央大學,D,D,460101,數學系博士班,4,3,1,3,1,0,0,0,0
99,0008,國立中央大學,D,D,440301,物理學系博士班,6,6,0,3,0,1,0,2,0
99,0008,國立中央大學,D,D,440101,化學學系博士班,6,5,1,5,1,0,0,0,0
99,0008,國立中央大學,D,D,420103,生命科學系博士班,5,4,1,4,1,0,0,0,0
99,0008,國立中央大學,D,D,460201,統計研究所博士班,3,3,0,3,0,0,0,0,0
99,0008,國立中央大學,D,D,520106,光電科學與工程學系博士班,4,4,0,4,0,0,0,0,0
99,0008,國立中央大學,D,D,440601,天文研究所博士班,1,0,1,0,1,0,0,0,0
99,0008,國立中央大學,D,D,420604,系統生物與生物資訊研究所博士班,1,1,0,1,0,0,0,0,0
99,0008,國立中央大學,D,D,520301,土木工程學系博士班,12,12,0,11,0,0,0,1,0
99,0008,國立中央大學,D,D,520201,機械工程學系博士班,25,25,0,24,0,0,0,1,0
99,0008,國立中央大學,D,D,520403,化學工程與材料工程學系博士班,10,8,2,8,2,0,0,0,0
99,0008,國立中央大學,D,D,520901,環境工程研究所博士班,3,3,0,3,0,0,0,0,0
99,0008,國立中央大學,D,D,340301,企業管理學系博士班,17,9,8,8,8,0,0,1,0
99,0008,國立中央大學,D,D,480109,資訊管理學系博士班,10,8,2,8,2,0,0,0,0
99,0008,國立中央大學,D,D,310104,產業經濟研究所博士班,1,0,1,0,1,0,0,0,0
99,0008,國立中央大學,D,D,349906,工業管理研究所博士班,5,5,0,5,0,0,0,0,0
99,0008,國立中央大學,D,D,349919,人力資源管理研究所博士班,2,0,2,0,2,0,0,0,0
99,0008,國立中央大學,D,D,340501,財務金融學系博士班,4,2,2,2,2,0,0,0,0
99,0008,國立中央大學,D,D,310101,經濟學系博士班,2,2,0,2,0,0,0,0,0
99,0008,國立中央大學,D,D,520101,電機工程學系博士班,19,18,1,18,1,0,0,0,0
99,0008,國立中央大學,D,D,520114,資訊工程學系博士班,10,10,0,10,0,0,0,0,0
99,0008,國立中央大學,D,D,520126,通訊工程學系博士班,3,3,0,3,0,0,0,0,0
99,0008,國立中央大學,D,D,440402,大氣物理研究所博士班,3,3,0,3,0,0,0,0,0
99,0008,國立中央大學,D,D,440209,地球物理研究所博士班,9,7,2,7,2,0,0,0,0
99,0008,國立中央大學,D,D,440603,太空科學研究所博士班,2,0,2,0,2,0,0,0,0
99,0008,國立中央大學,,,SUBT5,產業研發碩士專班           共計,1,1,0,1,0,0,0,0,0
99,0008,國立中央大學,D,M,520188,光電科學與工程學系光電顯示產業研發碩士專班,1,1,0,1,0,0,0,0,0
