1061「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,太陽光電與氫能(104二退場),綠色企業管理,科技與社會(105二退場),創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,系(所)總合
中國文學系,1,4,4,1,,,3,,1,,,1,5,7,1,,,,4,,,,,,,,32
英美語文學系,10,17,6,3,,,2,,,,,,3,3,,,,,,,,1,,,,,45
法國語文學系,6,9,1,,,,11,,,,,1,3,,,,,,,,,,,,,1,32
法國語文學系碩士班,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
學習與教學研究所碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
亞際文化研究國際碩士學位學程(台灣聯合大學系統),,,,,,,,1,,,,,,,,,,,,,,,,,,,1
哲學研究所博士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
學習與教學研究所博士班,,,,,,,,,,,,,,2,,,,,,,,,,,,,2
數學系,1,9,1,,,,,,,,,2,,,,,,,,16,,,1,,,,30
物理學系,,,,,,,,,2,,,1,,,,,,,,,,,,,,,3
化學學系,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
理學院學士班,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2
數學系碩士班,,,,,,,,,,1,,,,,,,,,,,,,,1,,,2
統計研究所碩士班,,,,,,,,,,12,,,,,,,,,,,,,,5,,,17
土木工程學系,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2
機械工程學系,,1,2,,,,,,,,,,,,,,,,3,,,,,,,,6
機械工程學系碩士班,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
機械工程學系博士班,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
企業管理學系,,27,26,33,,,,,,,,1,28,,,,,,2,1,,6,,,1,,125
資訊管理學系,,2,4,18,,,,,,,,2,17,1,,,,,21,,,4,1,,,,70
財務金融學系,,,30,7,,,,,,,,,2,,,,,,,,,3,,,,,42
經濟學系,,16,17,10,,,2,,,,,1,9,1,,,,,4,3,,5,,,,,68
企業管理學系碩士班,,,,44,,,,,,,7,,,,,,,,,,,1,,,,,52
產業經濟研究所碩士班,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,3
工業管理研究所碩士班,,,,8,,,,,,,,,,,,,,,,,,,,,,,8
財務金融學系碩士班,,,,,,,,,,4,,,,,,,,,,,,,,,,,4
會計研究所碩士班,,,,25,,,,,,,,,,,,,,,,,,,,,,,25
工業管理研究所碩士在職專班,,,,8,,,,,,,,,,,,,,,,,,,,,,,8
企業管理學系博士班,,,,1,,,,,,,,,,,,,,,,,,1,,,,,2
電機工程學系,1,2,,,,,,,,,,1,1,,,,,,4,,,,,,,,9
資訊工程學系,,1,,,,,,,,,,,,1,,,,,1,,2,,,1,,,6
通訊工程學系,,,,,,,,,,,,,,,,,,,8,,,,,,,,8
大氣科學學系,,2,,,46,19,1,,3,,,,,,,,,,,,77,,,,,,148
地球科學學系,,,,,21,24,,,,,,,,,1,,,,,,10,,,,,,56
客家語文暨社會科學學系,,1,,,,,,,,,,1,,,1,,1,,,,1,,,,1,,6
法律與政府研究所碩士班,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
客家語文暨社會科學學系客家政治經濟碩士班,,,1,3,,,,,,,,,,,,,,,,,,1,,,,,5
生命科學系,,2,,,,,,,,,,,,,,,,,,,1,,,,,,3
總合,19,93,95,162,67,43,20,2,6,17,7,12,68,18,4,1,1,2,47,21,92,23,2,7,2,1,832
