101學年度第二學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,企業管理,財務金融,會計,資訊管理,水土保持,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,統計學,氣候變遷調適,系(所)總合
中國文學系,,,,,,,,,,2,,,,,2,,,4,1,,,1,,,,,10
英美語文學系,2,,,,,,,,,1,,,,,,,,1,,,,,,,,,4
法國語文學系,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,4
物理學系,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,,,,5,,,,,,,,,,,,,,5
機械工程學系,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,4,9,1,,38,,,,,,,,,,3,,,,,,,1,,,,56
資訊管理學系,,1,,,,51,,,,1,,,,,,24,,,,,,,,17,,,94
財務金融學系,,,37,,,8,,,,,,,,,,,,,,,,,,,,,45
經濟學系,,,3,,,3,,,,2,,,,,,,,,,,,,,,,,8
企業管理學系碩士班,,,,,,19,,,,,,,,4,,,,,,,,,,,,,23
工業管理研究所碩士班,,,,,,3,,,,,,,,,,,,,,,,,,,,,3
財務金融學系碩士班,,,,,,,,,,,,,4,,,,,,,,,,,,,,4
會計研究所碩士班,,,,,,12,,,,,,,,,,,,,,,,,,,,,12
工業管理研究所碩士在職專班,,,,,,10,,,,,,,,,,,,,,,,,,,,,10
資訊工程學系,,,,,,,,,,,,,,,,1,,,,,,,,3,,,4
通訊工程學系,,,,,,3,,,,,,,,,,,,,,,,,,12,,,15
資訊工程學系碩士班,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2
資訊工程學系博士班,,,,,,,2,,,,,,,,,,,,,,,,,,,,2
大氣科學學系,,,,,,,,13,33,,,1,,,,,,,,,,,,,,,47
地球科學學系,,,,,,,,28,4,,,,,,,,,,,,,,,,,,32
總合,3,6,50,1,,149,3,41,37,7,,2,9,4,2,28,,5,1,,,1,1,32,,,382
