102學年度第一學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,企業管理,財務金融,會計,資訊管理,水土保持,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,統計學,氣候變遷調適,系(所)總合
中國文學系,,,,1,,,,,,1,,,,,,,,7,,,,,,,,,9
英美語文學系,2,3,1,,,,,,,,,,,,,,,,7,,,,,,,,13
法國語文學系,4,,1,,,,,,,,,,,,,,,1,,,,,,,,,6
英美語文學系碩士班,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
歷史研究所碩士班,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
數學系,,3,3,,,,,,,,,,,,,,,,1,,,,,,7,,14
物理學系,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
光電科學與工程學系,,,,,,,,,,,,,,,,,,,1,,,,,1,,,2
統計研究所碩士班,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
土木工程學系,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
機械工程學系,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
企業管理學系,,,4,,,17,,,,,,,,,,,,,,,,,,1,,,22
資訊管理學系,,3,4,,,17,,,,,,,,,,6,,,1,,,,,2,,,33
財務金融學系,,,6,,,1,,,,,,,,,,,,,,,,,,,,,7
經濟學系,,,3,,,3,,,,,,,,,,,,,1,,,,,3,,,10
企業管理學系碩士班,,,,1,,34,,,,,,,,8,,1,,,,,1,,,1,,,46
產業經濟研究所碩士班,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2
工業管理研究所碩士班,,,,,,17,,,,,,,,,,,,,,,,,,,,,17
電機工程學系,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
資訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,2,,,3
通訊工程學系,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
大氣科學學系,,,1,,,,,21,21,,,2,,,,,,,,,,,,,,9,54
地球科學學系,,,,,1,,,14,10,,,1,,,,,,1,,,,,,,,2,29
總合,6,10,24,2,1,89,,35,31,1,1,4,3,9,,8,1,9,12,,1,,,12,7,11,277
