111學年度第一學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史(110一退場),文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,永續企業管理(原綠色企業管理),創意與創業,統計,氣候與環境變遷,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,量子技術,智慧製造,影響力衡量與管理,生科職涯,系(所)總合
中國文學系,2,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,5,,,,,,,,1,1,12
英美語文學系,1,,,,,,,,,,,,1,1,,,,,,,,,,,,2,,,,1,,,,,,,,,,6
法國語文學系,1,1,,,,,,,,,,,,2,,,,,,,,,,,,1,,1,,,,,,,,,,,,6
文學院學士班,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,1,,5
數學系,,3,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,2,,,,2,,,,,,,10
物理學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5
化學學系,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
理學院學士班,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
土木工程學系,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
企業管理學系,,6,1,9,,,,,,,,,1,,,,,,,3,,,2,,,2,,1,,5,,,1,,4,,,3,,38
資訊管理學系,,1,1,1,,,,,,,,,1,,,,2,,,2,,,,,2,3,,1,,12,,,3,,,,,,,29
財務金融學系,,,8,5,,,,,,,,,,,,,,3,,10,,,,,1,2,,,,1,,,5,,1,,,,,36
經濟學系,,3,9,,,,,,,,,,,,,,,,,3,,,1,,,2,,,,,,,,,1,,,1,,20
企業管理學系碩士班,,,1,29,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,49
會計研究所碩士班,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
國際經營管理碩士學位學程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
電機工程學系,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,4
資訊工程學系,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,4,,,,1,,,,,,,8
資訊電機學院學士班,,,,,,,,,,,,,,,,,23,,,,,,,,,,1,,,,,,,,,,1,,,25
大氣科學學系,,,,,7,3,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,16
地球科學學系,,,,,27,3,,,,,,,,,,,,,8,,,,,,,,,,2,,,,,,,,,,,40
地球科學學院學士班,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,5
太空科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2
客家語文暨社會科學學系,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,8,,,,1,,,,,,13
生命科學系,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,9
生醫科學與工程學系,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,4
認知神經科學研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
總合,4,20,20,57,36,7,,,,3,,1,3,3,,,26,3,14,37,1,,4,,8,20,4,5,20,32,,,12,1,7,,2,7,7,364
