1092「輔系(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
"              輔系
 所屬系所",中文,英文,法文,文院學士班,數學,物理,化學,光電,理院學士班,土木,機械,化材,工院學士班,企管,資管,財金,經濟,電機,資工,通訊,資電學士班,大科,地科,地科學士班,太空,客社,生科,生醫,系(所)總合
中國文學系,,3,2,,,,,,,,,,,1,1,,,,,,,,,,,1,,,8
英美語文學系,1,,2,,,,,,,,,,,1,1,4,14,,,,,,,,,,,1,24
法國語文學系,,,,,,,,,,,,,,,,3,11,,,,,,1,,,,,,15
數學系,,,,,,1,,,,,1,,,,,4,2,,1,1,,,,,,,,,10
物理學系,,,,,2,,1,,,,,,,,,,,3,,,,,,,,,,,6
化學學系,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,3
光電科學與工程學系,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
土木工程學系,,,,,,,,,,,4,1,,,,,,1,,,,,,,,,,,6
機械工程學系,,1,,,1,,,1,,,,,,,,,,5,1,,,,,,,,,3,12
化學工程與材料工程學系,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,2
工學院學士班,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,4
企業管理學系,,,1,,1,,,,,1,,1,,,5,24,,,,,,,,,,,,,33
資訊管理學系,,,1,,,,,,,,,,,,,16,,1,8,,,,,,,,,,26
財務金融學系,,,,,,,,,,,,,,,7,,,,1,,,,,,,,1,,9
經濟學系,,1,1,,3,,,,,1,,,,,3,24,1,,,,,,,,,,,,34
電機工程學系,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,5
資訊工程學系,,,,,1,,,,,,1,,,,,1,,2,,,,,,,,,1,,6
通訊工程學系,,,,,,,,,,,,,,,,,,1,2,,,,,,,,1,,4
資訊電機學院學士班,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
大氣科學學系,1,,,,,5,,,,,3,,,,,,,6,2,1,,,2,,,,1,,21
地球科學學系,,,,,,,1,,,,,,,,1,,1,,,,,3,,,,,2,,8
客家語文暨社會科學學系,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,1,6
生命科學系,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,1,5
生醫科學與工程學系,,,,,,,,,,,,4,,,,1,,,1,,,,,,,,3,,9
總合,3,5,8,,8,6,5,1,,2,15,8,,2,19,78,31,20,18,3,,3,3,,,1,13,6,258
